PG.ProteinGroups,PG.Genes,ConditionNorm_N40_N_2,ConditionNorm_N40_N_3,ConditionNorm_N40_N_4,ConditionNorm_N40_N_5,ConditionNorm_N41_N_1,ConditionNorm_N41_N_2,ConditionNorm_N41_N_3,ConditionNorm_N41_N_4,ConditionNorm_N41_N_5,MedianConditionNormN40N,MedianConditionNormN41N,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog(adj.P.Val),TotalPeptidesOverallInGene,
Q04323,UBXN1,0.170249969,0.188245063,0.218146234,0.212592243,0.301787379,0.392213719,0.284093535,0.349586835,0.237718633,0.200418653,0.301787379,-0.13461199,0.264614372,-5.193594574,0.001646807,0.008888722,-2.218558748,"33,325",2.051160677,17,
Q8N5S9,CAMKK1,0.186508064,0.222437841,0.241731437,0.2186148,0.396678833,0.337231633,0.383363593,0.289941619,0.397739855,0.22052632,0.383363593,-0.134480884,0.284563478,-5.189342137,0.00165401,0.008922392,-2.223454332,"55,735",2.049518692,11,
Q8ND83,SLAIN1,0.132723517,0.061622901,0.432030847,0.223488759,0.561703909,0.862209279,0.93803228,0.779776015,0.952679565,0.178106138,0.862209279,-0.572963865,0.498948438,-5.187460563,0.001657209,0.008934433,-2.225621272,"60,595",2.048932995,7,
P00338,LDHA,0.107455116,0.105064446,0.111346691,0.110252861,0.145949614,0.127433773,0.14992169,0.163614866,0.146596921,0.108853989,0.146596921,-0.038200207,0.127629882,-5.185451525,0.001660632,0.008947669,-2.227935545,"36,689",2.04829009,26,
O95864,FADS2,1.207793356,1.180638525,1.106591539,1.114994226,1.345860259,1.289407891,1.288443436,1.274763808,1.235814095,1.147816375,1.288443436,-0.147114437,1.22606163,-5.181988324,0.001666551,0.008969715,-2.231926217,"52,259",2.047221361,13,
O14548,COX7A2L,0.248705674,0.296892159,0.186970928,0.329720013,0.534135123,0.464918064,0.419337706,0.441069652,0.490267201,0.272798917,0.464918064,-0.199292942,0.365218665,-5.181922408,0.001666663,0.008969715,-2.232002189,"12,615",2.047221361,5,
P17980,PSMC3,0.036614482,0.057668122,0.050580557,0.058343806,0.087106879,0.074503813,0.080885985,0.076677206,0.080689811,0.05412434,0.080689811,-0.028991729,0.065297606,-5.178891095,0.001671864,0.00899247,-2.235496576,"49,204",2.046121011,30,
O00400,SLC33A1,1.00E-07,0.010026464,0.019960466,0.069659046,0.114713638,0.114817461,0.098573196,0.096756939,0.02568175,0.014993465,0.098573196,-0.081303789,0.065563414,-5.177344402,0.001674525,0.008998348,-2.237280034,"60,909",2.045837227,11,
Q9NUP9,LIN7C,0.057176352,0.087559595,0.012214838,0.049179074,0.255554751,0.242081348,0.129918781,0.238360301,0.211414703,0.053177713,0.238360301,-0.164946331,0.13400563,-5.17712452,0.001674903,0.008998348,-2.237533602,"21,834",2.045837227,6,
Q8NC44,RETREG2,0.219920972,0.216676362,0.231635402,0.188800045,0.283199634,0.312318268,0.266978645,0.329293538,0.315442995,0.218298667,0.312318268,-0.083689326,0.256102858,-5.175836965,0.001677122,0.009005037,-2.239018544,"57,830",2.045514497,7,
Q9BYX7,POTEKP,0.10708364,0.132034206,0.158478919,0.212664032,0.047842783,0.042198851,0.012655125,1.00E-07,0.0731323,0.145256562,0.042198851,0.126890985,0.089119707,5.171132063,0.001685259,0.009043475,-2.244446668,"42,016",2.043664664,4,
Q58FG1,HSP90AA4P,0.124286246,0.200681916,0.11554138,0.103984639,0.306670849,0.246966991,0.25206548,0.256836256,0.287832584,0.119913813,0.256836256,-0.129511349,0.20087922,-5.169347659,0.001688357,0.009054842,-2.246506162,"47,712",2.043119115,4,
P40855,PEX19,1.101598279,0.991911033,1.054579206,1.459842259,0.686652556,0.504006857,0.292850012,0.480008585,0.990749534,1.078088742,0.504006857,0.661103192,0.821431098,5.167370657,0.001691796,0.009061974,-2.248788458,"32,807",2.042777203,3,
Q99675,CGRRF1,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.17702383,0.538413789,0.533478523,0.449287626,0.174545333,1.00E-07,0.449287626,-0.424550842,0.212275521,-5.167286745,0.001691943,0.009061974,-2.248885339,"38,242",2.042777203,5,
Q96B23,C18orf25,0.02567048,0.021598816,1.00E-07,0.015310464,0.130935085,0.245779162,0.164720313,0.114719322,0.128571774,0.01845464,0.130935085,-0.148393505,0.089841718,-5.166893921,0.001692627,0.009061974,-2.249338894,"43,395",2.042777203,5,
Q6P1M9,ARMCX5,0.138285524,0.418914874,0.363870348,0.292629057,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.328249702,1.00E-07,0.303424851,0.151712525,5.162040411,0.001701109,0.009102114,-2.254944501,"62,346",2.040857735,2,
Q96T21,SECISBP2,0.381950096,0.37845061,0.335894647,0.406793309,0.543434018,0.617391816,0.652914608,0.487007612,0.592155847,0.380200353,0.592155847,-0.199414848,0.47547959,-5.156845115,0.001710241,0.009145685,-2.260948456,"95,462",2.038783748,13,
Q15004,PCLAF,1.00E-07,1.830549807,1.00E-07,1.00E-07,2.494852287,5.076642468,4.880654374,5.328832905,5.373897441,1.00E-07,5.076642468,-3.987607982,2.451441518,-5.155137607,0.001713255,0.009156504,-2.262922555,"11,986",2.038270295,4,
Q9GZY8,MFF,0.138801841,0.010565968,0.045169719,0.106472858,0.222787309,0.223425569,0.262649301,0.211716218,0.294801304,0.075821288,0.223425569,-0.154892003,0.152698598,-5.153834792,0.001715558,0.009163517,-2.264429048,"38,465",2.037937791,11,
P13995,MTHFD2,0.150805292,0.175022106,0.137837618,0.117961397,0.198928537,0.229157563,0.210879952,0.237111618,0.317711164,0.144321455,0.229157563,-0.073612814,0.18221301,-5.152924148,0.00171717,0.009166832,-2.265482198,"37,895",2.037780719,12,
Q66LE6,PPP2R2D,1.00E-07,0.087828025,1.00E-07,0.102527897,0.166996026,0.278562406,0.317344859,0.306504708,0.262853136,0.043914062,0.278562406,-0.219762969,0.157470515,-5.148982668,0.001724167,0.009198873,-2.270041797,"52,042",2.036265393,5,
Q15928,ZNF141,0.034203716,0.256874428,0.034268266,0.205903906,0.758219613,1.056713921,0.990408363,0.497635925,1.057370686,0.120086086,0.990408363,-0.692931877,0.479278517,-5.146792601,0.001728068,0.009210612,-2.272576247,"55,249",2.035711497,1,
P82979,SARNP,0.038486919,1.00E-07,0.055453624,0.066247198,0.109972553,0.118881012,0.126335918,0.107053804,0.115957569,0.046970271,0.115957569,-0.075513861,0.077803891,-5.146569908,0.001728466,0.009210612,-2.272833995,"23,671",2.035711497,9,
Q92870,APBB2,2.104899304,1.871275391,1.981205098,2.134262774,1.627835301,1.60873718,1.652652116,1.34833567,1.558945688,2.043052201,1.60873718,0.463520575,1.791150354,5.146071245,0.001729356,0.009210612,-2.27341118,"83,374",2.035711497,7,
Q96Q07,BTBD9,1.491789726,1.427869888,1.279766397,1.436267609,1.647311691,1.714949368,1.902999329,1.847438038,2.300877148,1.432068749,1.847438038,-0.369251201,1.593549006,-5.145222666,0.001730871,0.009213378,-2.274393458,"69,188",2.035581125,4,
Q5T7W7,TSTD2,1.020299292,1.119916396,1.151192927,1.06541876,1.264484764,1.267568218,1.322645034,1.417689181,1.266033657,1.092667578,1.267568218,-0.228889956,1.203651821,-5.140281299,0.001739727,0.009255188,-2.28011535,"58,263",2.033614737,5,
P16152,CBR1,0.043257891,0.045576994,0.064255352,0.047173269,0.091311091,0.076302171,0.082937922,0.073637096,0.125446521,0.046375131,0.082937922,-0.030981194,0.065556473,-5.136165184,0.001747143,0.009289294,-2.284884213,"30,375",2.032017278,16,
Q16513,PKN2,0.149656137,0.172235473,0.144820463,0.155184098,0.2391013,0.216662333,0.204262824,0.192562773,0.225529602,0.152420118,0.216662333,-0.057673265,0.184310675,-5.132794742,0.001753242,0.009316363,-2.288790896,"112,035",2.030753598,31,
Q92673,SORL1,0.671329327,0.676209708,0.71059781,0.694697879,0.969525395,0.93003475,0.819930412,0.818506912,0.877183273,0.685453794,0.877183273,-0.196290686,0.786354024,-5.130457784,0.001757484,0.009329083,-2.29150059,"248,426",2.030161045,39,
P49790,NUP153,0.167151968,0.167814969,0.164822468,0.181658258,0.215768142,0.211885892,0.235484999,0.196156055,0.186923505,0.167483468,0.211885892,-0.044461856,0.192592844,-5.130364821,0.001757653,0.009329083,-2.291608396,"153,938",2.030161045,49,
Q6P4R8,NFRKB,0.317190119,0.306684953,0.279163198,0.346032127,0.386116009,0.502510714,0.459671613,0.495271541,0.340595842,0.311937536,0.459671613,-0.14862487,0.386580034,-5.125059016,0.00176733,0.009375062,-2.297763331,"139,001",2.028025871,16,
P46782,RPS5,0.08227798,0.102192389,0.095043299,0.065945823,0.135044393,0.132055451,0.126723455,0.156754187,0.13885243,0.088660639,0.135044393,-0.051279499,0.112004622,-5.123648036,0.001769913,0.009383382,-2.299400778,"22,876",2.027640601,14,
O43819,SCO2,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.105978336,0.328019785,0.328588872,0.307206865,0.103502102,1.00E-07,0.307206865,-0.267448364,0.133724282,-5.119000391,0.001778453,0.009423252,-2.304796334,"29,810",2.025799199,4,
Q9BSG0,PRADC1,0.715809677,0.667599544,0.690106909,0.75746209,0.847634199,0.860559908,0.818782867,0.938712484,0.940807915,0.702958293,0.860559908,-0.15867781,0.78708346,-5.118182921,0.00177996,0.009425834,-2.305745664,"21,042",2.025680208,1,
Q86VR2,RETREG3,0.022622983,0.07144978,0.01779533,0.026959647,0.118133289,0.126726879,0.084377212,0.11535704,0.049604752,0.024791315,0.11535704,-0.07644167,0.07292777,-5.111638552,0.001792074,0.009484556,-2.313348988,"51,396",2.022983008,6,
Q8N954,GPATCH11,0.140682722,0.135536729,0.105507855,0.089517203,0.205836725,0.193878295,0.216612739,0.271640991,0.298635096,0.120522292,0.216612739,-0.10418106,0.169901657,-5.110060975,0.001795008,0.00949465,-2.315182724,"33,277",2.022521034,6,
Q8IU81,IRF2BP1,0.324767215,0.298924787,0.293019305,0.315745542,0.349549301,0.3655597,0.392226252,0.358227681,0.370005147,0.307335164,0.3655597,-0.058276521,0.337252473,-5.109412963,0.001796215,0.009495601,-2.315936057,"61,688",2.022477527,17,
O75069,TMCC2,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.341720412,0.184946128,0.13757038,0.202225579,0.046527883,1.00E-07,0.184946128,-0.216615525,0.108307862,-5.106617026,0.001801433,0.009515958,-2.319187083,"77,449",2.021547502,5,
Q14999,CUL7,0.190624362,0.305517614,0.214468499,0.196822774,0.385670596,0.377170788,0.361443049,0.34261283,0.40153943,0.205645637,0.377170788,-0.139866003,0.296791314,-5.106247125,0.001802124,0.009515958,-2.319617273,"191,161",2.021547502,16,
Q9UBK9,UXT,1.00E-07,1.00E-07,0.00935857,0.04637373,0.185608171,0.090633666,0.135759163,0.107582933,0.209421882,0.004679335,0.135759163,-0.115962858,0.071914554,-5.099011904,0.001815711,0.009582229,-2.328035567,"18,246",2.018533461,4,
P52735,VAV2,0.126264591,0.103145049,0.09796218,0.079085085,0.156805568,0.159711981,0.175796332,0.144345701,0.166412458,0.100553615,0.159711981,-0.057550669,0.130389561,-5.096861205,0.001819772,0.009598181,-2.33053934,"101,289",2.017811047,29,
O95070,YIF1A,0.204611109,0.16286154,0.213137289,0.210701227,0.102118037,0.071813672,0.097635143,1.00E-07,0.072882291,0.207656168,0.072882291,0.129936053,0.132859764,5.095142806,0.001823024,0.009609852,-2.332540306,"32,011",2.017283319,4,
Q9ULD9,ZNF608,0.250151034,0.28417159,0.254956088,0.253786925,0.374920682,0.465766103,0.435012969,0.565151899,0.495620785,0.254371506,0.465766103,-0.199446504,0.360489661,-5.092954051,0.001827176,0.009626248,-2.335089566,"162,208",2.01654296,14,
O15116,LSM1,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.083490648,0.090858518,0.037829807,0.118892961,0.080552219,1.00E-07,0.083490648,-0.082767883,0.041384042,-5.091055462,0.001830785,0.009639773,-2.337301406,"15,179",2.015933201,3,
O00291,HIP1,0.149446895,0.095234065,0.137954745,0.111949072,0.208450843,0.198855151,0.176135761,0.18901667,0.223334902,0.124951908,0.198855151,-0.069468412,0.1583804,-5.090261003,0.001832298,0.009642248,-2.338227092,"116,221",2.015821717,29,
Q8WVC0,LEO1,1.00E-07,0.017686286,0.000483711,1.00E-07,0.022741606,0.036040592,0.033580968,0.029905705,0.028392863,0.000241906,0.029905705,-0.026024668,0.017554884,-5.088155056,0.001836315,0.009655313,-2.340681322,"75,404",2.015233654,12,
Q96EE3,SEH1L,0.022515239,0.032373653,0.057962843,0.030362777,0.139980537,0.096374932,0.107000487,0.083050803,0.109938444,0.031368215,0.107000487,-0.070798062,0.071202659,-5.087864968,0.001836869,0.009655313,-2.341019433,"39,649",2.015233654,19,
Q86SZ2,TRAPPC6B,0.046152866,0.025258958,0.037789491,0.052103016,0.015905779,1.00E-07,0.006793868,0.006824883,0.016956328,0.041971179,0.006824883,0.032944925,0.02385362,5.087215485,0.001838111,0.009656348,-2.341776478,"17,983",2.015187094,9,
Q9BYH1,SEZ6L,1.00E-07,1.00E-07,1.00E-07,0.022981428,0.230680457,0.631168229,0.550388284,0.725626802,0.228204183,1.00E-07,0.550388284,-0.528720511,0.270105687,-5.085829943,0.001840762,0.009664785,-2.34339168,"111,782",2.014807814,8,
Q96RD7,PANX1,1.695661507,3.890749583,3.639474664,2.576786102,0.492365685,0.414099325,0.421127343,0.517286382,0.860233982,3.108130383,0.492365685,2.489448281,1.705943824,5.083254842,0.001845701,0.009674023,-2.346394322,"48,050",2.014392905,5,
Q13823,GNL2,0.235126567,0.211556287,0.243609623,0.196764995,0.276222141,0.275426025,0.307790173,0.285816806,0.347663903,0.223341427,0.285816806,-0.064549418,0.254039077,-5.082975501,0.001846238,0.009674023,-2.346720098,"83,655",2.014392905,26,
Q8WXI9,GATAD2B,0.163942557,0.264496973,0.239178991,0.224404633,0.318909429,0.377536706,0.433674074,0.387063007,0.397964379,0.231791812,0.387063007,-0.156290015,0.301150796,-5.082890312,0.001846401,0.009674023,-2.34681945,"65,261",2.014392905,18,
P26447,S100A4,0.024339966,0.179123503,0.024412579,0.332736515,0.452287541,0.546343206,0.670288931,0.601732881,0.686750944,0.101768041,0.601732881,-0.427509999,0.35390814,-5.082731443,0.001846707,0.009674023,-2.347004734,"11,729",2.014392905,2,
O95602,POLR1A,0.184981116,0.156882088,0.126352925,0.134413077,0.258532595,0.232385273,0.223513541,0.211811331,0.247445061,0.145647582,0.232385273,-0.080903383,0.191108993,-5.07915359,0.001853598,0.009702016,-2.351178407,"194,811",2.013138033,59,
Q9BW72,HIGD2A,0.566698553,0.625731788,0.619065359,0.737848488,0.859986579,0.794246158,0.943157785,0.881344867,0.865731185,0.622398573,0.865731185,-0.2323478,0.753509947,-5.078868056,0.001854149,0.009702016,-2.351511567,"11,529",2.013138033,1,
Q13371,PDCL,0.57560413,0.492516048,0.482114842,0.701864834,0.788428496,1.097435282,0.981121623,1.048998921,1.132083753,0.534060089,1.048998921,-0.415971117,0.771010522,-5.077817522,0.001856179,0.009707142,-2.352737427,"34,282",2.012908628,7,
P26992,CNTFR,0.142264349,0.147493378,0.135930178,0.15607546,0.211812293,0.196409282,0.184434762,0.172956829,0.164688494,0.144878864,0.184434762,-0.04596245,0.168422066,-5.076322994,0.00185907,0.009715471,-2.354481645,"40,633",2.012536155,10,
Q9BW62,KATNAL1,0.004120125,0.080488138,0.029238763,0.044543568,0.150563774,0.153673885,0.130130002,0.105711072,0.120576113,0.036891165,0.130130002,-0.095422035,0.087308666,-5.075908643,0.001859873,0.009715471,-2.354965276,"55,392",2.012536155,11,
Q8IXM6,NRM,0.048208372,0.031857056,0.039361209,0.016832477,1.00E-07,1.00E-07,0.000915895,0.00345889,0.040121668,0.035609132,0.000915895,0.032971032,0.017579262,5.072293591,0.001866891,0.009740277,-2.359185786,"29,379",2.011428688,7,
O94952,FBXO21,1.215125225,0.946395758,1.248512479,1.047582459,1.606723145,1.648009692,1.425722647,1.49441831,1.860029085,1.131353842,1.606723145,-0.429314468,1.329061214,-5.072275862,0.001866926,0.009740277,-2.359206488,"72,270",2.011428688,8,
Q9UMY4,SNX12,0.063514542,0.046537054,0.092990367,0.050283323,0.12882198,0.135213576,0.110245899,0.115239782,0.088277075,0.056898932,0.115239782,-0.059048988,0.092855815,-5.071836064,0.001867782,0.009740277,-2.359720071,"19,730",2.011428688,8,
P62081,RPS7,0.187807475,0.15860865,0.153460057,0.19665098,0.274355208,0.243580816,0.304451369,0.238854551,0.254975557,0.173208063,0.254975557,-0.091178695,0.219721138,-5.070916564,0.001869573,0.009744121,-2.36079392,"22,127",2.011257339,12,
O75366,AVIL,1.152848689,0.610630939,0.633204302,0.796977158,0.309204289,1.00E-07,1.00E-07,1.00E-07,0.958565462,0.71509073,1.00E-07,0.721114125,0.43785821,5.069792015,0.001871766,0.009750054,-2.362107398,"92,027",2.010992967,2,
O60293,ZFC3H1,0.190175366,0.212250416,0.239774707,0.181621894,0.399810581,0.291399251,0.315155964,0.340009759,0.311085609,0.201212891,0.315155964,-0.130638293,0.271274742,-5.066845482,0.001877525,0.00977455,-2.365549797,"226,356",2.009903242,29,
O14639,ABLIM1,0.176453108,0.16992162,0.182389927,0.193571757,0.249717618,0.223912067,0.220594238,0.21298942,0.256856445,0.179421518,0.223912067,-0.046219232,0.203693719,-5.063443598,0.0018842,0.009803778,-2.369525682,"87,688",2.008606545,22,
Q96EK7,FAM120B,0.288872366,0.326148674,0.265776167,0.294527738,0.367629777,0.42637534,0.393174591,0.464224896,0.402735695,0.291700052,0.402735695,-0.119019915,0.353341193,-5.057005861,0.001896904,0.009855763,-2.377054078,"103,783",2.00630974,29,
P12004,PCNA,0.008300444,0.066898446,0.088216861,0.066417562,0.135242956,0.160131159,0.152558393,0.137421299,0.146997677,0.066658004,0.146997677,-0.088880123,0.10189839,-5.056877197,0.001897159,0.009855763,-2.377204598,"28,769",2.00630974,14,
Q86SR1,GALNT10,0.34650302,0.204784299,0.31906028,0.099929187,0.480233047,0.548338921,0.628151376,0.571254329,0.58942161,0.26192229,0.571254329,-0.314425222,0.399781808,-5.05676105,0.001897389,0.009855763,-2.377340478,"68,992",2.00630974,5,
Q96L58,B3GALT6,0.040575546,0.02717343,0.012695024,0.063498711,0.126562456,0.08295477,0.115680069,0.100047938,0.146658797,0.033874488,0.115680069,-0.070325631,0.071148493,-5.055675004,0.001899542,0.009861408,-2.378611124,"37,138",2.006061077,7,
Q9H1A3,METTL9,0.295940124,0.325831761,0.434311111,0.360455194,0.471624779,0.572978241,0.548132896,0.54713339,0.530197788,0.343143477,0.54713339,-0.180832779,0.444550937,-5.054994701,0.001900892,0.00986288,-2.379407145,"36,536",2.005996268,5,
Q14534,SQLE,0.723884102,0.69877272,0.819614027,0.783158767,0.938163129,1.00498946,0.891910875,0.912067267,0.894527548,0.753521434,0.912067267,-0.180425279,0.846570043,-5.053711982,0.001903441,0.009870565,-2.380908229,"63,923",2.005657988,18,
Q7Z7F7,MRPL55,0.016021472,0.009191365,0.024828215,0.020383859,0.035042134,0.043822103,0.049522062,0.036080549,0.033242532,0.018202665,0.036080549,-0.023510484,0.02936147,-5.051418449,0.001908008,0.009888701,-2.383592774,"15,128",2.004860764,3,
P62068,USP46,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.161944425,0.410685522,0.440246416,0.26126293,0.515550862,1.00E-07,0.410685522,-0.318534723,0.159267462,-5.049906452,0.001911025,0.00989879,-2.385362946,"42,442",2.00441787,6,
Q92665,MRPS31,0.07545687,0.068235028,0.066349636,0.050072244,0.111623763,0.12573044,0.089524939,0.117050442,0.129941541,0.067292332,0.117050442,-0.045953952,0.08800542,-5.048236713,0.001914364,0.009910531,-2.387318165,"45,318",2.003903089,13,
P53671,LIMK2,0.111213932,1.00E-07,1.00E-07,0.087302414,0.451176039,0.258867902,0.540246119,0.315744297,0.308251377,0.043651257,0.315744297,-0.341879453,0.220568863,-5.037828303,0.001935322,0.010009584,-2.399514909,"72,232",1.999583961,6,
Q14671,PUM1,0.258166596,0.282823089,0.263446427,0.291793242,0.355143417,0.522528582,0.496332858,0.525940237,0.455004837,0.273134758,0.496332858,-0.200928935,0.374521806,-5.037660311,0.001935663,0.010009584,-2.399711888,"126,473",1.999583961,21,
Q9BQ61,TRIR,1.00E-07,1.00E-07,0.022990098,1.00E-07,0.300205382,0.290400042,0.100423267,0.30533866,0.167868298,1.00E-07,0.290400042,-0.243344238,0.127419718,-5.036668463,0.001937674,0.0100099,-2.400874965,"18,419",1.999570241,6,
Q7L7V1,DHX32,0.656806529,0.742077597,0.766523676,0.860548596,0.954140954,1.019091622,1.157407312,1.13018628,1.169134379,0.754300637,1.13018628,-0.308717443,0.910847821,-5.0365623,0.001937889,0.0100099,-2.400999464,"84,419",1.999570241,7,
O60503,ADCY9,1.00E-07,1.00E-07,1.00E-07,0.028267516,0.175556409,0.296002243,0.319384404,0.485170698,0.388870225,1.00E-07,0.319384404,-0.311961485,0.163047696,-5.034592985,0.001941889,0.010024963,-2.403309191,"150,701",1.998917223,21,
P15848,ARSB,0.038625762,0.025949309,0.029485537,0.035551523,0.016099568,0.0009836,0.015243069,0.006992003,0.013501386,0.03251853,0.013501386,0.022573473,0.021116296,5.031529179,0.001948131,0.010051575,-2.406903679,"59,687",1.997765883,15,
Q2VPB7,AP5B1,0.062864402,0.136576863,0.126408017,0.155367589,0.246316667,0.215610069,0.219430482,0.215797043,0.310525935,0.13149244,0.219430482,-0.103984348,0.172296391,-5.02908415,0.001953129,0.01007174,-2.409773153,"93,949",1.996895501,9,
Q9BWD1,ACAT2,0.003887839,0.001729394,0.0050718,0.010842524,0.023243963,0.014672075,0.023097799,0.02831671,0.020667659,0.00447982,0.023097799,-0.016949747,0.013857763,-5.023603977,0.001964382,0.010118735,-2.416207697,"41,351",1.99487376,18,
Q15223,NECTIN1,1.02729947,1.044330323,0.906410161,0.976658491,1.238068922,1.431157728,1.447751117,1.675005249,1.304152598,1.001978981,1.431157728,-0.459321143,1.218335183,-5.023580373,0.001964431,0.010118735,-2.41623542,"57,158",1.99487376,5,
Q8TD17,ZNF398,2.762327975,3.570757241,3.778460413,3.614492259,2.195063024,1.00E-07,1.00E-07,1.00E-07,2.77308352,3.59262475,1.00E-07,2.882743641,1.990137651,5.020811461,0.001970145,0.010142517,-2.419488145,"71,311",1.993854262,1,
Q9NVM9,INTS13,0.022655461,0.026786993,0.04890897,0.021798665,0.109133796,0.078589864,0.06418499,0.091972016,0.075738141,0.024721227,0.078589864,-0.055932644,0.058003844,-5.018724418,0.001974464,0.010157652,-2.421940568,"80,225",1.99320666,26,
O15040,TECPR2,1.00E-07,0.026403323,0.019536375,0.02898377,0.178284924,0.15204929,0.102504933,0.083843613,0.165484841,0.022969849,0.15204929,-0.110439798,0.073950791,-5.01832968,0.001975282,0.010157652,-2.422404481,"153,848",1.99320666,18,
Q9H5V9,CXorf56,0.539169337,0.509912429,0.389553845,0.424069557,0.811411546,0.845172906,0.628138406,0.73477708,0.859722635,0.466990993,0.811411546,-0.289198693,0.610275638,-5.015811743,0.00198051,0.010178872,-2.425364185,"25,625",1.992300331,5,
P52179,MYOM1,0.128151662,0.114666186,0.10873183,0.110150624,0.139655299,0.184211796,0.183248534,0.178125718,0.190451968,0.112408405,0.183248534,-0.055885262,0.143367706,-5.011473381,0.001989553,0.010219669,-2.430465788,"187,627",1.990563151,1,
Q8WWQ0,PHIP,0.016173087,0.025111814,0.025097035,0.012326867,1.00E-07,0.005436433,1.00E-07,0.004049681,1.00E-07,0.020635061,1.00E-07,0.017305622,0.01102439,5.006052797,0.002000917,0.010261899,-2.436843714,"206,689",1.988772259,53,
Q13905,RAPGEF1,0.266386938,0.228271587,0.197729029,0.197252605,0.323657385,0.363482637,0.448311182,0.357366708,0.550064614,0.213000308,0.363482637,-0.150794438,0.297807259,-5.005929618,0.002001176,0.010261899,-2.436988696,"120,548",1.988772259,19,
P33993,MCM7,0.066367654,0.058296014,0.074463384,0.067582392,0.088748066,0.08248076,0.082656123,0.084012059,0.078329879,0.066975023,0.082656123,-0.017796891,0.075575806,-5.005587361,0.002001896,0.010261899,-2.437391543,"81,308",1.988772259,49,
Q9C0D7,ZC3H12C,0.82919938,0.788775497,0.925508418,0.842701697,1.081142713,1.156708961,1.104672099,0.973571402,1.137484819,0.835950539,1.104672099,-0.232477546,0.962785021,-5.005436638,0.002002214,0.010261899,-2.437568955,"99,340",1.988772259,7,
P15408,FOSL2,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.327678473,0.742294841,0.923071887,0.517637544,0.796239276,1.00E-07,0.742294841,-0.627670586,0.313835393,-4.999126048,0.002015545,0.010324505,-2.444999808,"35,193",1.986130743,2,
Q8IYJ1,CPNE9,1.628905332,1.550117167,1.547577897,0.743371389,1.00E-07,0.574172242,1.00E-07,1.00E-07,1.00E-07,1.548847532,1.00E-07,1.223949811,0.755518041,4.99627355,0.002021604,0.010349808,-2.448360519,"61,864",1.985067711,3,
Q53H82,LACTB2,0.041324027,1.00E-07,0.034575917,0.062007588,0.090742198,0.168332367,0.144223228,0.170032708,0.185498914,0.037949972,0.168332367,-0.108855717,0.088904767,-4.994268033,0.002025876,0.01036594,-2.450724031,"32,806",1.984391322,10,
Q9NVG8,TBC1D13,0.089889832,0.077818012,0.099723932,0.089107068,0.124423176,0.113965085,0.110179811,0.128494147,0.104668221,0.08949845,0.113965085,-0.030130844,0.104200133,-4.991830597,0.002031082,0.010386829,-2.453597322,"46,554",1.983517035,15,
Q13445,TMED1,0.056011404,0.047656843,0.042062947,0.044789059,0.096566988,0.068103021,0.093639918,0.076562939,0.092792822,0.046222951,0.092792822,-0.036088153,0.06567414,-4.986914307,0.002041628,0.010434988,-2.459395266,"25,206",1.981508047,7,
P43251,BTD,8.686076514,10.1125955,9.295259823,11.74381759,6.808973527,2.891237356,2.155821059,4.410377323,7.934585397,9.70392766,4.410377323,5.892835041,7.013019836,4.98631267,0.002042923,0.010435837,-2.46010503,"61,133",1.981472716,3,
Q96N21,TEPSIN,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.189579729,0.582405311,0.468242573,0.610358531,0.187103495,1.00E-07,0.468242573,-0.462646436,0.231323318,-4.982370404,0.00205143,0.010473507,-2.464757061,"55,137",1.979907891,2,
Q9BSJ5,C17orf80,0.429629519,0.387084645,0.449516775,0.575455383,0.956490874,0.698442189,1.117251512,1.108702886,1.06333625,0.439573147,1.06333625,-0.509800285,0.715321723,-4.981650289,0.002052988,0.010475678,-2.465607062,"67,315",1.979817879,7,
Q9BQA1,WDR77,0.050683608,0.045187576,0.034401654,0.041258906,0.065721373,0.064461106,0.056386789,0.063076111,0.043809355,0.043223241,0.063076111,-0.019528409,0.05264714,-4.98082847,0.002054768,0.010478977,-2.4665772,"36,724",1.979681124,11,
Q6IBS0,TWF2,0.051266427,0.097964785,0.071748652,0.072166622,0.171814731,0.180432905,0.125408318,0.214648112,0.177206707,0.071957637,0.177206707,-0.099789395,0.123181319,-4.979721191,0.002057169,0.010482746,-2.467884466,"39,548",1.979524932,15,
Q8N653,LZTR1,0.362057298,0.424077608,0.359931727,0.20817704,0.649846753,0.913995541,0.622144204,0.883924544,0.80392235,0.360994512,0.80392235,-0.428916842,0.55301934,-4.979442063,0.002057775,0.010482746,-2.468214034,"94,719",1.979524932,14,
P41212,ETV6,0.084374082,0.181223394,0.211655563,0.157699182,0.053361694,1.00E-07,1.00E-07,1.00E-07,0.001118028,0.169461288,1.00E-07,0.145397557,0.086039277,4.973835303,0.002069984,0.010539138,-2.474836308,"53,000",1.977194912,8,
