Index,UCSC_Gene_Symbol,Ingenuity_Gene_Symbol,Ingenuity_Gene_Description,Ingenuity_Gene_Product_Location,Ingenuity_Gene_Product_Type,Log2_Mean_CYTOSOL,Log2_Mean_LYSOSOME,Linear_Fold_Change_LYSOSOME_vs_CYTOSOL,Log2_Fold_Change_LYSOSOME_vs_CYTOSOL,Welch_Ttest_uncorrected_P_LYSOSOME_vs_CYTOSOL,Welch_Ttest_BH_FDR_corrected_P_LYSOSOME_vs_CYTOSOL
G7335,GLI3,GLI3,GLI family zinc finger 3,Nucleus,transcription regulator,2.5,3.524238589,2.033885677,1.024238589,0.000118065,0.001238888
G25174,VGLL4,VGLL4,vestigial like family member 4,Nucleus,other,4.166648647,5.188632654,2.03070969,1.021984007,5.20E-06,0.000210087
G8178,HIST1H2AH,H2AC12,H2A clustered histone 12,Nucleus,other,2.5,3.520773901,2.029007083,1.020773901,0.004263835,0.013775553
G441,AEN,AEN,apoptosis enhancing nuclease,Nucleus,enzyme,3.014403892,4.034131308,2.027535839,1.019727416,0.000105116,0.001163027
G8179,HIST1H2AI,H2AC13,H2A clustered histone 13,Nucleus,other,2.5,3.515967856,2.022259104,1.015967856,0.000296356,0.002223656
G22823,STK17A,STK17A,serine/threonine kinase 17a,Nucleus,kinase,3.305021257,4.319499021,2.020171485,1.014477764,9.63E-06,0.000290718
G21069,SH3BGRL2,SH3BGRL2,SH3 domain binding glutamate rich protein like 2,Nucleus,other,7.530980871,8.544561466,2.018915592,1.013580595,3.40E-07,5.34E-05
G19763,RERG,RERG,RAS like estrogen regulated growth inhibitor,Nucleus,enzyme,2.5,3.513414057,2.018682552,1.013414057,3.50E-05,0.00057767
G8182,HIST1H2AL,H2AC16,H2A clustered histone 16,Nucleus,other,2.5,3.512603476,2.017548669,1.012603476,0.001921503,0.007857701
G8217,HIST1H4H,H4C8,H4 clustered histone 8,Nucleus,other,2.944101237,3.955001267,2.015167877,1.01090003,0.000131086,0.001329399
G6065,FAM13A,FAM13A,family with sequence similarity 13 member A,Cytoplasm,other,4.564156724,5.574083213,2.013808486,1.009926489,6.40E-06,0.000238973
G22855,STON2,STON2,stonin 2,Cytoplasm,other,6.241701228,7.251265266,2.013302616,1.009564038,1.05E-05,0.000300822
G1563,BAG3,BAG3,BAG cochaperone 3,Cytoplasm,other,3.839043682,4.847846288,2.012240307,1.008802606,0.000114462,0.001220874
G8745,IGFBP4,IGFBP4,insulin like growth factor binding protein 4,Extracellular Space,other,2.684217837,3.692544956,2.011577217,1.008327118,0.000163631,0.001507809
G19838,RGS16,RGS16,regulator of G protein signaling 16,Cytoplasm,enzyme,4.333388482,5.340842804,2.010360629,1.007454323,1.43E-06,0.000107375
G1587,BARD1,BARD1,BRCA1 associated RING domain 1,Nucleus,transcription regulator,2.722380596,3.728838377,2.008972452,1.006457781,7.39E-07,7.52E-05
G6117,FAM174A,FAM174A,family with sequence similarity 174 member A,Extracellular Space,other,3.562400033,4.563476077,2.001492271,1.001076044,1.75E-05,0.000397743
G5000,DLK1,DLK1,delta like non-canonical Notch ligand 1,Extracellular Space,other,2.5,3.500791822,2.001098,1.000791822,0.001345275,0.006136611
G4333,CTNNA1,CTNNA1,catenin alpha 1,Plasma Membrane,other,5.192837382,6.192671705,1.999770336,0.999834323,8.49E-05,0.001017815
G4635,DCBLD1,DCBLD1,"discoidin, CUB and LCCL domain containing 1",Extracellular Space,other,3.123940147,4.121036621,1.995978906,0.997096474,5.06E-05,0.000738493
G16329,NENF,NENF,neudesin neurotrophic factor,Extracellular Space,growth factor,2.937623197,3.933622785,1.994461934,0.995999588,0.000695207,0.003953872
G3717,CLIC1,CLIC1,chloride intracellular channel 1,Nucleus,ion channel,5.926334645,6.921577456,1.993415997,0.995242811,2.16E-05,0.00043934
G5256,DSCAM,DSCAM,DS cell adhesion molecule,Plasma Membrane,other,2.874008614,3.868399454,1.99223915,0.99439084,7.08E-05,0.000910006
G3501,CHGA,CHGA,chromogranin A,Cytoplasm,other,7.306675809,8.299724984,1.990387286,0.993049175,4.73E-06,0.000197506
G22981,SV2C,SV2C,synaptic vesicle glycoprotein 2C,Plasma Membrane,other,2.944143839,3.936458143,1.989373694,0.992314305,0.003393959,0.011695157
G16775,NTNG2,NTNG2,netrin G2,Plasma Membrane,other,5.174455698,6.165604419,1.987767086,0.991148721,8.73E-06,0.000279091
G1382,ATP1B1,ATP1B1,ATPase Na+/K+ transporting subunit beta 1,Plasma Membrane,transporter,8.704548362,9.69472091,1.986422555,0.990172548,4.31E-07,5.95E-05
G2591,CALR,CALR,calreticulin,Cytoplasm,transcription regulator,7.853616187,8.843389565,1.985873021,0.989773378,7.73E-05,0.00096303
G26416,ZNRF3,ZNRF3,zinc and ring finger 3,Plasma Membrane,enzyme,4.544773482,5.533621002,1.984598984,0.98884752,8.40E-06,0.000274905
G7455,GNPTAB,GNPTAB,N-acetylglucosamine-1-phosphate transferase subunits alpha and beta,Cytoplasm,enzyme,5.834070395,6.821189222,1.982222385,0.987118827,9.74E-07,8.36E-05
G19201,PTGR1,PTGR1,prostaglandin reductase 1,Cytoplasm,enzyme,3.355622918,4.341198225,1.980102767,0.985575308,1.18E-05,0.000318677
G9593,KLHL1,KLHL1,kelch like family member 1,Cytoplasm,other,3.87385591,4.854753704,1.973693263,0.980897794,7.74E-06,0.000263577
G18223,PITX2,PITX2,paired like homeodomain 2,Nucleus,transcription regulator,4.859719777,5.839966726,1.972803068,0.980246949,6.73E-06,0.000245573
G4699,DDT,DDT,D-dopachrome tautomerase,Cytoplasm,enzyme,4.334253053,5.313334399,1.971209816,0.979081346,0.001680233,0.007129639
G18696,PPP1R14C,PPP1R14C,protein phosphatase 1 regulatory inhibitor subunit 14C,Cytoplasm,other,4.330578712,5.307334386,1.968034721,0.976755674,2.69E-06,0.000146951
G24177,TPBG,TPBG,trophoblast glycoprotein,Plasma Membrane,other,2.5,3.476688168,1.967942637,0.976688168,0.001464275,0.006511798
G25253,VSNL1,VSNL1,visinin like 1,Cytoplasm,other,2.922736442,3.899362479,1.967857887,0.976626037,1.82E-05,0.000406446
G5450,EEPD1,EEPD1,endonuclease/exonuclease/phosphatase family domain containing 1,Plasma Membrane,other,2.89449722,3.869896511,1.966185297,0.975399291,0.000227427,0.001866824
G25179,VIM,VIM,vimentin,Cytoplasm,other,6.695219855,7.669516784,1.964683511,0.974296929,4.37E-07,5.95E-05
G4367,CTSZ,CTSZ,cathepsin Z,Cytoplasm,peptidase,2.5,3.471703692,1.961155175,0.971703692,0.00269883,0.009962377
G12714,LRRC16A,CARMIL1,capping protein regulator and myosin 1 linker 1,Cytoplasm,enzyme,3.748928499,4.718801665,1.958668392,0.969873166,9.10E-06,0.000284057
G21463,SLC35F6,SLC35F6,solute carrier family 35 member F6,Cytoplasm,other,5.857357393,6.826013317,1.957016505,0.968655924,1.20E-05,0.000320437
G19228,PTPN13,PTPN13,protein tyrosine phosphatase non-receptor type 13,Cytoplasm,phosphatase,6.009034817,6.976763934,1.955759696,0.967729117,0.000152296,0.001436443
G20961,SERTAD2,SERTAD2,SERTA domain containing 2,Cytoplasm,transcription regulator,4.79850706,5.76511953,1.954246522,0.96661247,4.63E-06,0.000196126
G10073,LHFPL2,LHFPL2,LHFPL tetraspan subfamily member 2,Other,enzyme,2.508792853,3.47501962,1.953724126,0.966226767,1.42E-05,0.000353765
G6894,FSBP,FSBP,fibrinogen silencer binding protein,Nucleus,other,3.403307634,4.368643281,1.952517728,0.965335647,0.000769013,0.004203585
G19562,RASD1,RASD1,ras related dexamethasone induced 1,Cytoplasm,enzyme,2.867968668,3.832058653,1.950832598,0.964089985,0.000506945,0.003180392
G23600,TIMP1,TIMP1,TIMP metallopeptidase inhibitor 1,Extracellular Space,cytokine,2.5,3.462846895,1.949152398,0.962846895,0.000855192,0.004511676
G24017,TMSB4X,TMSB10/TMSB4X,thymosin beta 4 X-linked,Cytoplasm,other,8.849132516,9.810981426,1.947804537,0.96184891,0.000194042,0.001684191
G4039,CPEB1,CPEB1,cytoplasmic polyadenylation element binding protein 1,Cytoplasm,translation regulator,3.093429926,4.05414209,1.946270404,0.960712164,0.000135039,0.00135509
G8218,HIST1H4I,H4C9,H4 clustered histone 9,Nucleus,other,2.919329961,3.87752881,1.942882764,0.95819885,0.005020738,0.015448328
G2712,CAT,CAT,catalase,Cytoplasm,enzyme,2.904548072,3.860431014,1.939766424,0.955882942,0.00015804,0.001470496
G3349,CEP112,CEP112,centrosomal protein 112,Cytoplasm,other,2.653597706,3.607743456,1.9374321,0.95414575,1.96E-05,0.000417585
G1919,BVES,BVES,blood vessel epicardial substance,Plasma Membrane,other,2.959578303,3.910479949,1.933080404,0.950901646,0.000657717,0.003817356
G7601,GPR155,GPR155,G protein-coupled receptor 155,Plasma Membrane,G-protein coupled receptor,6.359154191,7.30769644,1.92992161,0.948542249,4.40E-05,0.000674635
G5224,DPYD,DPYD,dihydropyrimidine dehydrogenase,Cytoplasm,enzyme,2.838644016,3.787058991,1.929751361,0.948414975,0.000100254,0.00112631
G19805,RFX5,RFX5,regulatory factor X5,Nucleus,transcription regulator,4.771676138,5.720055953,1.92970433,0.948379814,4.27E-05,0.00066461
G25349,WDR43,WDR43,WD repeat domain 43,Nucleus,transcription regulator,5.92710511,6.873059621,1.926463045,0.945954511,1.72E-05,0.000393177
G5532,EIF2AK2,EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2,Cytoplasm,kinase,5.291724237,6.23766201,1.926440694,0.945937773,4.28E-05,0.00066461
G8918,INHBE,INHBE,inhibin subunit beta E,Extracellular Space,growth factor,2.720722008,3.666592014,1.926350207,0.945870006,0.000595129,0.00355045
G7935,HADHA,HADHA,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha,Cytoplasm,enzyme,6.304052801,7.248776399,1.92482008,0.944723598,5.07E-08,2.17E-05
G16290,NECAB1,NECAB1,N-terminal EF-hand calcium binding protein 1,Cytoplasm,other,3.487758667,4.431667512,1.923733357,0.943908845,0.000108692,0.001184632
G26467,ZWINT,ZWINT,ZW10 interacting kinetochore protein,Nucleus,other,2.844196721,3.786781198,1.921968214,0.942584476,9.06E-06,0.000284057
G8100,HES6,HES6,hes family bHLH transcription factor 6,Nucleus,transcription regulator,5.590315298,6.530192053,1.918364352,0.939876755,0.000573456,0.00346448
G6377,FANCL,FANCL,FA complementation group L,Nucleus,enzyme,3.94182586,4.880859068,1.917243008,0.939033209,0.000173597,0.001558957
G3087,CD47,CD47,CD47 molecule,Plasma Membrane,transmembrane receptor,7.562436549,8.500414193,1.915840748,0.937977644,1.12E-08,1.07E-05
G9488,KIF11,KIF11,kinesin family member 11,Nucleus,other,2.5,3.437582714,1.915316369,0.937582714,9.30E-05,0.001072493
G8496,HSD17B11,HSD17B11,hydroxysteroid 17-beta dehydrogenase 11,Cytoplasm,enzyme,2.623312212,3.560800829,1.91519145,0.937488617,2.09E-05,0.000430911
G5652,EML2,EML2,EMAP like 2,Cytoplasm,other,4.416327686,5.35215465,1.91298686,0.935826964,0.000118959,0.001245103
G20957,SERPINH1,SERPINH1,serpin family H member 1,Extracellular Space,other,2.5,3.434665076,1.911446838,0.934665076,0.000110939,0.001197541
G9013,IRAK1,IRAK1,interleukin 1 receptor associated kinase 1,Plasma Membrane,kinase,6.295955067,7.229339977,1.909751481,0.93338491,0.000668353,0.003846675
G4322,CTDSP1,CTDSP1,CTD small phosphatase 1,Nucleus,phosphatase,2.537227266,3.469568697,1.908370687,0.932341431,2.31E-06,0.000135029
G2698,CASP3,CASP3,caspase 3,Cytoplasm,peptidase,7.288378371,8.214984264,1.900798882,0.926605892,2.34E-06,0.000135195
G16196,NCOA1,NCOA1,nuclear receptor coactivator 1,Nucleus,transcription regulator,7.512045136,8.438072584,1.900036915,0.926027448,1.21E-07,3.03E-05
G22293,SNX17,SNX17,sorting nexin 17,Cytoplasm,transporter,5.80185103,6.727245615,1.899203613,0.925394584,9.61E-06,0.000290718
G7069,GALNT14,GALNT14,polypeptide N-acetylgalactosaminyltransferase 14,Cytoplasm,enzyme,2.5,3.422388921,1.895250992,0.922388921,0.002313532,0.008905529
G13395,MFAP3L,MFAP3L,microfibril associated protein 3 like,Nucleus,other,4.07891305,4.995849891,1.888102178,0.916936841,1.50E-05,0.000360895
G5721,EPB41L3,EPB41L3,erythrocyte membrane protein band 4.1 like 3,Plasma Membrane,other,7.46257063,8.379477325,1.888062726,0.916906696,5.05E-06,0.000205848
G473,AGBL4,AGBL4,AGBL carboxypeptidase 4,Cytoplasm,peptidase,2.512809067,3.426615864,1.884010228,0.913806797,0.000480594,0.003083711
G7886,GYG1,GYG1,glycogenin 1,Cytoplasm,enzyme,3.586690652,4.499369264,1.88253751,0.912678612,0.000992767,0.004985139
G17781,PCDHGB5,PCDHGB5,"protocadherin gamma subfamily B, 5",Cytoplasm,other,2.5,3.412668474,1.882524282,0.912668474,0.002082485,0.008273243
G13461,MGST3,MGST3,microsomal glutathione S-transferase 3,Cytoplasm,enzyme,5.252702463,6.165221088,1.882328759,0.912518625,0.000109386,0.001188505
G8304,HMGN3,HMGN3,high mobility group nucleosomal binding domain 3,Nucleus,other,4.069294866,4.979879627,1.879807278,0.910584761,0.000140869,0.001392192
G1307,ASXL2,ASXL2,ASXL transcriptional regulator 2,Extracellular Space,other,5.613912095,6.523251874,1.878185786,0.909339779,2.50E-06,0.000140336
G4864,DGKB,DGKB,diacylglycerol kinase beta,Cytoplasm,kinase,4.221163314,5.129953224,1.877470071,0.90878991,0.000265008,0.002059984
G569,AKNA,AKNA,AT-hook transcription factor,Nucleus,transcription regulator,3.020703245,3.927422108,1.87477682,0.906718863,0.001093544,0.005310962
G596,ALCAM,ALCAM,activated leukocyte cell adhesion molecule,Plasma Membrane,other,7.355659625,8.259519312,1.871065012,0.903859687,1.83E-05,0.00040869
G7228,GFPT1,GFPT1,glutamine--fructose-6-phosphate transaminase 1,Cytoplasm,enzyme,7.910207985,8.814021921,1.871005676,0.903813935,0.000150528,0.001432294
G6565,FGD5,FGD5,"FYVE, RhoGEF and PH domain containing 5",Cytoplasm,other,4.344076419,5.247722127,1.870787518,0.903645708,0.001540517,0.006733897
G6855,FREM2,FREM2,FRAS1 related extracellular matrix 2,Extracellular Space,other,2.5,3.402100471,1.868784833,0.902100471,0.000347283,0.002485488
G388,ADGRV1,ADGRV1,adhesion G protein-coupled receptor V1,Plasma Membrane,G-protein coupled receptor,4.112866126,5.014120162,1.867688732,0.901254036,0.003574355,0.012102847
G1616,BCAN,BCAN,brevican,Extracellular Space,other,2.747828907,3.648873849,1.867418062,0.901044942,2.02E-05,0.000420048
G13190,MBNL1,MBNL1,muscleblind like splicing regulator 1,Nucleus,other,5.659746972,6.559098057,1.865226828,0.899351085,4.30E-06,0.000191871
G7604,GPR158,GPR158,G protein-coupled receptor 158,Plasma Membrane,G-protein coupled receptor,3.278767436,4.176313185,1.862894211,0.897545749,7.92E-05,0.00097586
G23316,TCF7L1,TCF7L1,transcription factor 7 like 1,Nucleus,transcription regulator,2.5,3.396832034,1.861972847,0.896832034,0.000920994,0.004727964
G8187,HIST1H2BC,H2BC4,H2B clustered histone 4,Nucleus,other,4.200833931,5.097602502,1.861890942,0.896768571,0.001211918,0.005682957
G23803,TMEM18,TMEM18,transmembrane protein 18,Nucleus,other,4.745677484,5.64209964,1.861443924,0.896422156,6.46E-05,0.000869581
G377,ADGRG2,ADGRG2,adhesion G protein-coupled receptor G2,Plasma Membrane,G-protein coupled receptor,2.516894971,3.407793829,1.854331088,0.890898858,0.000162722,0.001501669
G19346,QPRT,QPRT,quinolinate phosphoribosyltransferase,Cytoplasm,enzyme,5.552157327,6.443004899,1.854265171,0.890847573,8.02E-09,9.78E-06
G4020,COX7A2L,COX7A2L,cytochrome c oxidase subunit 7A2 like,Cytoplasm,enzyme,5.763471348,6.654027099,1.853890136,0.89055575,0.000451875,0.002974809
G20067,RNF213,RNF213,ring finger protein 213,Cytoplasm,enzyme,3.46574667,4.355708198,1.853126706,0.889961528,0.000802277,0.004325048
G20252,RPL12,RPL12,ribosomal protein L12,Nucleus,other,6.482118268,7.372008202,1.853034747,0.889889934,1.76E-06,0.000115032
G20527,S100A13,S100A13,S100 calcium binding protein A13,Cytoplasm,other,2.980575073,3.86855701,1.850585685,0.887981936,0.001113327,0.00537718
G18133,PIEZO1,PIEZO1,piezo type mechanosensitive ion channel component 1,Cytoplasm,ion channel,2.5,3.387056265,1.849398682,0.887056265,0.002738117,0.010059496
G12769,LRRC61,LRRC61,leucine rich repeat containing 61,Other,other,2.5,3.386889263,1.849184613,0.886889263,0.000858848,0.004519427
G26230,ZNF662,ZNF662,zinc finger protein 662,Other,other,2.5,3.386326724,1.848463714,0.886326724,0.001592083,0.006885521
G23650,TLX1,TLX1,T cell leukemia homeobox 1,Nucleus,transcription regulator,2.993872428,3.879625433,1.847728779,0.885753005,4.32E-06,0.000192018
G17820,PCP4,PCP4,Purkinje cell protein 4,Cytoplasm,other,4.812200472,5.697533632,1.847191142,0.88533316,0.001022125,0.005095425
G5149,DOCK10,DOCK10,dedicator of cytokinesis 10,Cytoplasm,other,3.611907123,4.496479716,1.846217588,0.884572594,0.00135332,0.006163972
G22338,SORBS3,SORBS3,sorbin and SH3 domain containing 3,Cytoplasm,other,2.703494541,3.587767835,1.845834614,0.884273294,0.000212134,0.001778972
G4090,CRABP2,CRABP2,cellular retinoic acid binding protein 2,Cytoplasm,transporter,7.381167876,8.263960932,1.843941718,0.882793057,1.45E-05,0.000356913
G13333,MEIS2,MEIS2,Meis homeobox 2,Nucleus,transcription regulator,2.59381501,3.476304445,1.843553693,0.882489435,1.02E-05,0.000297657
G7429,GNB4,GNB4,G protein subunit beta 4,Plasma Membrane,enzyme,5.445659589,6.327850689,1.843172504,0.8821911,2.70E-05,0.000491141
G23521,THCAT155,THCAT155,thyroid cancer-associated transcript 155,Other,other,4.587912848,5.469936655,1.842958783,0.882023806,3.91E-06,0.000186036
G4971,DLC1,DLC1,DLC1 Rho GTPase activating protein,Cytoplasm,other,2.805285346,3.686650459,1.842117533,0.881365113,0.001190126,0.005616176
G24308,TRIM21,TRIM21,tripartite motif containing 21,Nucleus,enzyme,2.681205403,3.562558644,1.842102375,0.881353241,8.52E-05,0.001019606
G2683,CASC5,KNL1,kinetochore scaffold 1,Nucleus,other,2.693544567,3.574655612,1.841793153,0.881111045,7.88E-05,0.00097334
G17780,PCDHGB4,PCDHGB4,"protocadherin gamma subfamily B, 4",Other,other,5.582320196,6.462357039,1.8404223,0.880036843,5.98E-05,0.000827234
G19738,REEP6,REEP6,receptor accessory protein 6,Plasma Membrane,other,3.371055273,4.249286367,1.838120178,0.878231094,0.000532033,0.003292816
G4837,DERA,DERA,deoxyribose-phosphate aldolase,Cytoplasm,enzyme,3.578309987,4.45451735,1.835543574,0.876207363,3.25E-05,0.000549147
G7936,HADHB,HADHB,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta,Cytoplasm,enzyme,3.943224836,4.818143222,1.833904338,0.874918386,0.000158008,0.001470496
G21254,SLC16A1,SLC16A1,solute carrier family 16 member 1,Plasma Membrane,transporter,5.252477352,6.127336211,1.833828671,0.874858859,4.76E-05,0.000711897
G9101,ITGB8,ITGB8,integrin subunit beta 8,Plasma Membrane,other,5.226212406,6.101020991,1.833764769,0.874808586,3.02E-05,0.000525522
G9405,KHDRBS2,KHDRBS2,"KH RNA binding domain containing, signal transduction associated 2",Nucleus,other,3.848039359,4.722146755,1.832873726,0.874107396,1.20E-05,0.000320437
G9891,LAMA1,LAMA1,laminin subunit alpha 1,Extracellular Space,other,2.86931962,3.743027086,1.832365706,0.873707467,9.62E-05,0.00109556
G7329,GLDC,GLDC,glycine decarboxylase,Cytoplasm,enzyme,3.952366197,4.825532871,1.831678973,0.873166673,4.60E-05,0.00069563
G17766,PCDHGA10,PCDHGA10,"protocadherin gamma subfamily A, 10",Other,other,4.428777097,5.30137315,1.830954643,0.872596053,0.000968648,0.004911749
G1879,BTBD11,ABTB3,ankyrin repeat and BTB domain containing 3,Other,transcription regulator,2.964757434,3.836548705,1.829933562,0.871791271,0.00086677,0.004540277
G10063,LGI4,LGI4,leucine rich repeat LGI family member 4,Extracellular Space,other,3.418664878,4.289753617,1.829042678,0.871088739,1.84E-05,0.00040869
G8479,HS3ST3A1,HS3ST3A1,heparan sulfate-glucosamine 3-sulfotransferase 3A1,Cytoplasm,enzyme,3.34815905,4.218829279,1.82851217,0.870670229,0.001012307,0.005062762
G25965,ZNF300,ZNF300,zinc finger protein 300,Nucleus,transcription regulator,5.318631477,6.187587268,1.826340534,0.868955791,0.000207685,0.001753516
G8364,HOMER2,HOMER2,homer scaffold protein 2,Plasma Membrane,other,5.539803229,6.405404034,1.822098315,0.865600805,5.35E-07,6.57E-05
G2583,CALM2,CALM1 (includes others),calmodulin 1,Cytoplasm,other,9.866294758,10.73149044,1.821586721,0.865195679,0.000605625,0.003599215
G13112,MAPKAPK3,MAPKAPK3,MAPK activated protein kinase 3,Nucleus,kinase,3.25974648,4.124844369,1.821463251,0.865097888,0.000742721,0.004130059
G7326,GLB1L3,GLB1L3,galactosidase beta 1 like 3,Other,enzyme,2.5,3.364510253,1.820721488,0.864510253,0.000125995,0.001300098
G20246,RPH3AL,RPH3AL,rabphilin 3A like (without C2 domains),Plasma Membrane,other,3.07808838,3.941268805,1.81904398,0.863180425,0.000108461,0.001183154
G4982,DLG2,DLG2,discs large MAGUK scaffold protein 2,Plasma Membrane,kinase,3.570371316,4.433157009,1.818546344,0.862785692,5.86E-07,6.80E-05
G9895,LAMA5,LAMA5,laminin subunit alpha 5,Extracellular Space,other,5.680802156,6.543173177,1.818023717,0.862371021,0.000431747,0.002877464
G23747,TMEM132B,TMEM132B,transmembrane protein 132B,Other,other,4.813556258,5.675638674,1.817660066,0.862082416,0.001037086,0.005147251
G8773,IGSF8,IGSF8,immunoglobulin superfamily member 8,Plasma Membrane,other,3.904674044,4.765885899,1.816563573,0.861211856,0.000625984,0.003691907
G21172,SIPA1L1,SIPA1L1,signal induced proliferation associated 1 like 1,Cytoplasm,other,3.358456536,4.218736408,1.815390448,0.860279872,0.000176942,0.001575411
G3338,CENPN,CENPN,centromere protein N,Nucleus,other,2.630356312,3.489861565,1.814415982,0.859505253,2.94E-05,0.000517987
G879,ANXA5,ANXA5,annexin A5,Plasma Membrane,transporter,3.919278619,4.778693842,1.814302759,0.859415223,8.95E-06,0.000283039
G5587,ELAVL2,ELAVL2,ELAV like RNA binding protein 2,Cytoplasm,other,8.347391652,9.204718279,1.811678085,0.857326627,5.77E-06,0.000222944
G21077,SH3D19,SH3D19,SH3 domain containing 19,Plasma Membrane,other,4.558909598,5.412907078,1.807502296,0.85399748,3.66E-06,0.000180526
G23327,TCN2,TCN2,transcobalamin 2,Extracellular Space,transporter,3.657696946,4.510226759,1.805664444,0.852529814,1.95E-05,0.000417585
G9300,KCNK12,KCNK12,potassium two pore domain channel subfamily K member 12,Plasma Membrane,ion channel,2.5,3.35221672,1.80527262,0.85221672,0.000860065,0.004522031
G557,AKAP2, , , , ,6.083345164,6.934784481,1.804300103,0.851439317,7.60E-06,0.000261712
G21833,SNCA,SNCA,synuclein alpha,Cytoplasm,enzyme,6.837951677,7.687579763,1.802036316,0.849628086,3.70E-06,0.00018069
G4013,COX6A1,COX6A1,cytochrome c oxidase subunit 6A1,Cytoplasm,enzyme,6.725797486,7.57491614,1.80140011,0.849118655,5.35E-05,0.000763204
G25432,WLS,WLS,Wnt ligand secretion mediator,Cytoplasm,other,2.5,3.34872914,1.800913814,0.84872914,0.005315804,0.016132107
G4099,CRB1,CRB1,crumbs cell polarity complex component 1,Plasma Membrane,other,2.5,3.348556793,1.800698686,0.848556793,0.000190463,0.001656604
G4155,CRTAP,CRTAP,cartilage associated protein,Extracellular Space,other,5.423291868,6.271752257,1.800578365,0.84846039,2.62E-06,0.000144134
G22779,STAR,STAR,steroidogenic acute regulatory protein,Cytoplasm,transporter,2.913090473,3.759288032,1.797756417,0.846197559,6.38E-05,0.000860624
G26287,ZNF717,ZNF717,zinc finger protein 717,Nucleus,transcription regulator,3.350188305,4.194875039,1.795874748,0.844686734,0.001131197,0.00543176
G25547,YAP1,YAP1,Yes1 associated transcriptional regulator,Nucleus,transcription regulator,2.5,3.343771302,1.794735575,0.843771302,0.000261144,0.002038371
G25095,UST,UST,uronyl 2-sulfotransferase,Cytoplasm,enzyme,2.904901535,3.7486022,1.794647704,0.843700666,0.00048389,0.003098443
G9590,KLHDC8A,KLHDC8A,kelch domain containing 8A,Other,other,6.156885585,7.000535344,1.794584379,0.843649759,1.61E-06,0.000109577
G12812,LSAMP,LSAMP,limbic system associated membrane protein,Plasma Membrane,other,8.511546015,9.354055745,1.793166844,0.842509729,2.06E-06,0.00012871
G23317,TCF7L2,TCF7L2,transcription factor 7 like 2,Nucleus,transcription regulator,4.539679797,5.38210866,1.793066335,0.842428862,4.66E-05,0.000701311
G17863,PDE2A,PDE2A,phosphodiesterase 2A,Cytoplasm,enzyme,4.422146746,5.264328816,1.792759634,0.84218207,2.50E-06,0.000140336
G16693,NRBP1,NRBP1,nuclear receptor binding protein 1,Nucleus,kinase,6.000227676,6.841926533,1.792159271,0.841698857,5.64E-05,0.000795698
G8205,HIST1H3F,H3C7,H3 clustered histone 7,Nucleus,other,2.5,3.340352431,1.790487481,0.840352431,2.17E-05,0.00043934
G9127,ITPRIP,ITPRIP,"inositol 1,4,5-trisphosphate receptor interacting protein",Extracellular Space,other,3.398212777,4.237996538,1.78978186,0.839783761,0.000418025,0.002816743
G3575,CHST15,CHST15,carbohydrate sulfotransferase 15,Plasma Membrane,enzyme,4.487903987,5.326984263,1.78890934,0.839080275,2.95E-05,0.000518347
G1390,ATP2B1,ATP2B1,ATPase plasma membrane Ca2+ transporting 1,Plasma Membrane,transporter,7.434586698,8.273181157,1.78830704,0.838594459,1.04E-05,0.000298831
G447,AFF1,AFF1,ALF transcription elongation factor 1,Nucleus,transcription regulator,5.622346496,6.460211145,1.787402627,0.83786465,1.32E-05,0.000337411
G18096,PHLDB2,PHLDB2,pleckstrin homology like domain family B member 2,Cytoplasm,other,2.5,3.33769144,1.787188045,0.83769144,0.000339873,0.002452265
G15589,MPP5,PALS1,"protein associated with LIN7 1, MAGUK p55 family member",Plasma Membrane,kinase,2.802701121,3.640074949,1.786794635,0.837373828,0.001990592,0.008049988
G5655,EML4,EML4,EMAP like 4,Cytoplasm,other,6.065659913,6.90280234,1.786508066,0.837142427,1.03E-05,0.000298831
G17910,PDLIM4,PDLIM4,PDZ and LIM domain 4,Plasma Membrane,other,2.683492907,3.518880943,1.7843369,0.835388036,1.96E-05,0.000417585
G3794,CMTM6,CMTM6,CKLF like MARVEL transmembrane domain containing 6,Extracellular Space,cytokine,4.485441342,5.320800979,1.784301777,0.835359637,0.000920999,0.004727964
G6995,GABBR2,GABBR2,gamma-aminobutyric acid type B receptor subunit 2,Plasma Membrane,G-protein coupled receptor,7.047422411,7.879233978,1.779918973,0.831811567,6.72E-07,7.13E-05
G8938,INPPL1,INPPL1,inositol polyphosphate phosphatase like 1,Cytoplasm,phosphatase,3.420249051,4.251973217,1.779811145,0.831724166,3.70E-06,0.00018069
G5774,EPT1,SELENOI,selenoprotein I,Cytoplasm,enzyme,7.878205167,8.708476048,1.778019172,0.830270881,6.69E-06,0.000245573
G706,AMT,AMT,aminomethyltransferase,Cytoplasm,enzyme,2.982328841,3.811580758,1.776763816,0.829251917,0.000309369,0.002296343
G20476,RTN4,RTN4,reticulon 4,Cytoplasm,other,9.89400699,10.72275995,1.776149424,0.828752958,6.35E-07,7.13E-05
