Index,UCSC_Gene_Symbol,Ingenuity_Gene_Symbol,Ingenuity_Gene_Description,Ingenuity_Gene_Product_Location,Ingenuity_Gene_Product_Type,Log2_Mean_CYTOSOL,Log2_Mean_LYSOSOME,Linear_Fold_Change_LYSOSOME_vs_CYTOSOL,Log2_Fold_Change_LYSOSOME_vs_CYTOSOL,Welch_Ttest_uncorrected_P_LYSOSOME_vs_CYTOSOL,Welch_Ttest_BH_FDR_corrected_P_LYSOSOME_vs_CYTOSOL
G417,ADPGK,ADPGK,ADP dependent glucokinase,Plasma Membrane,kinase,5.084055371,5.276566329,1.142750903,0.192510959,0.010998932,0.027515078
G5537,EIF2B3,EIF2B3,eukaryotic translation initiation factor 2B subunit gamma,Cytoplasm,translation regulator,4.09647116,4.288756436,1.142572155,0.192285276,0.007645404,0.020993125
G6188,FAM214B,ATOSB,atos homolog B,Nucleus,other,4.578855629,4.770944877,1.142416917,0.192089248,0.009513927,0.024727837
G21203,SKIDA1,SKIDA1,SKI/DACH domain containing 1,Other,other,6.989180532,7.181118948,1.142297485,0.191938416,0.003478823,0.011882931
G9459,KIAA1429,VIRMA,vir like m6A methyltransferase associated,Nucleus,other,5.565003662,5.756646852,1.142063754,0.19164319,0.004889261,0.015175551
G17521,PA2G4,PA2G4,proliferation-associated 2G4,Nucleus,transcription regulator,6.212412068,6.403176269,1.141368143,0.190764201,0.005157987,0.015757268
G5560,EIF3M,EIF3M,eukaryotic translation initiation factor 3 subunit M,Cytoplasm,translation regulator,5.590680517,5.781083245,1.141082205,0.190402728,0.004499491,0.014324225
G24978,UQCRC1,UQCRC1,ubiquinol-cytochrome c reductase core protein 1,Cytoplasm,enzyme,6.631091972,6.821237089,1.140878469,0.190145118,0.008014697,0.021736347
G1052,ARHGAP12,ARHGAP12,Rho GTPase activating protein 12,Cytoplasm,other,6.012044106,6.201657592,1.140458133,0.189613485,0.021959348,0.046517433
G22478,SPCS2,SPCS2,signal peptidase complex subunit 2,Cytoplasm,other,6.536616391,6.726103627,1.140358337,0.189487236,0.014328739,0.033544612
G21351,SLC25A3,SLC25A3,solute carrier family 25 member 3,Cytoplasm,transporter,6.79611629,6.985510104,1.140284495,0.189393814,0.000912487,0.004707813
G5281,DSTYK,DSTYK,dual serine/threonine and tyrosine protein kinase,Cytoplasm,kinase,5.420302961,5.609459559,1.140097019,0.189156599,0.005359923,0.016234219
G3350,CEP120,CEP120,centrosomal protein 120,Cytoplasm,other,5.768278867,5.95730629,1.139994941,0.189027422,0.003433428,0.011773517
G21169,SIN3A,SIN3A,SIN3 transcription regulator family member A,Nucleus,transcription regulator,6.653799777,6.842821936,1.139990782,0.189022159,0.00102351,0.005098231
G23454,TFDP1,TFDP1,transcription factor Dp-1,Nucleus,transcription regulator,6.767520385,6.95622869,1.139742808,0.188708305,0.002517259,0.009449625
G5425,EDEM3,EDEM3,ER degradation enhancing alpha-mannosidase like protein 3,Cytoplasm,enzyme,7.339461638,7.527908924,1.139536619,0.188447286,0.011582291,0.028613634
G22263,SNRPA1,SNRPA1,small nuclear ribonucleoprotein polypeptide A',Nucleus,other,4.50864915,4.697062504,1.139509818,0.188413354,0.018490809,0.040699468
G23394,TEP1,TEP1,telomerase associated protein 1,Nucleus,enzyme,3.408453085,3.596686348,1.139367582,0.188233263,0.023404748,0.048837331
G19124,PSMD10,PSMD10,"proteasome 26S subunit, non-ATPase 10",Cytoplasm,transcription regulator,4.736453196,4.924541226,1.13925289,0.18808803,0.013202764,0.031533581
G5692,ENPP4,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4,Cytoplasm,enzyme,4.289178504,4.477215133,1.139212301,0.18803663,0.018155619,0.040168416
G2670,CASC10,MIR1915HG,MIR1915 host gene,Other,other,4.041754988,4.229047044,1.138624506,0.187292056,0.008953082,0.023631639
G23426,TEX264,TEX264,"testis expressed 264, ER-phagy receptor",Extracellular Space,other,4.025319828,4.21258542,1.13860362,0.187265592,0.000145917,0.001417033
G25377,WDR77,WDR77,WD repeat domain 77,Nucleus,transcription regulator,4.359008597,4.546233316,1.138571363,0.18722472,0.01481534,0.034327416
G3746,CLPB,CLPB,caseinolytic mitochondrial matrix peptidase chaperone subunit B,Nucleus,transcription regulator,5.468743316,5.655943618,1.138552093,0.187200302,0.008342831,0.022431419
G20519,RYK,RYK,receptor like tyrosine kinase,Plasma Membrane,kinase,5.251145088,5.438296966,1.138513878,0.187151878,0.012258674,0.029800928
G5743,EPHA7,EPHA7,EPH receptor A7,Plasma Membrane,kinase,6.722708544,6.909822472,1.138483931,0.187113928,0.021746824,0.046170122
G18487,POGLUT1,POGLUT1,protein O-glucosyltransferase 1,Extracellular Space,enzyme,5.32677608,5.513680668,1.138318744,0.186904588,0.00097743,0.004938113
G18891,PRKCI,PRKCI,protein kinase C iota,Cytoplasm,kinase,6.422999978,6.609531688,1.138024573,0.18653171,0.003437645,0.011781462
G22582,SPRYD7,SPRYD7,SPRY domain containing 7,Other,other,5.691957138,5.878488393,1.138024215,0.186531255,0.020085355,0.043438301
G23574,TIGAR,TIGAR,TP53 induced glycolysis regulatory phosphatase,Cytoplasm,enzyme,4.381642306,4.568145626,1.138002179,0.18650332,0.020612305,0.044269163
G8976,IPO5,IPO5,importin 5,Nucleus,transporter,7.824630315,8.010538829,1.137533091,0.185908514,0.001294676,0.005960606
G25720,ZDHHC20,ZDHHC20,zinc finger DHHC-type palmitoyltransferase 20,Plasma Membrane,enzyme,5.583388024,5.769066323,1.137351586,0.185678299,0.012885431,0.030912574
G24880,UFSP2,UFSP2,UFM1 specific peptidase 2,Other,enzyme,4.459512105,4.644681621,1.136950556,0.185169516,0.007305755,0.020312325
G7092,GAP43,GAP43,growth associated protein 43,Plasma Membrane,other,9.207587678,9.392577442,1.136808908,0.184989764,0.010921916,0.027355517
G7463,GOLGA2,GOLGA2,golgin A2,Cytoplasm,other,5.898366992,6.083205653,1.136689848,0.184838661,0.007866592,0.021457961
G3473,CHAF1A,CHAF1A,chromatin assembly factor 1 subunit A,Nucleus,other,3.628317653,3.812646402,1.136288162,0.184328748,0.016789253,0.037813165
G2747,CBWD5,ZNG1E,Zn regulated GTPase metalloprotein activator 1E,Other,other,5.956802367,6.140914537,1.136117595,0.18411217,0.006926382,0.019573459
G9561,KLC1,KLC1,kinesin light chain 1,Cytoplasm,other,9.051306202,9.235359876,1.13607153,0.184053674,0.006161922,0.017991645
G22599,SPTY2D1,SPTY2D1,SPT2 chromatin protein domain containing 1,Nucleus,other,4.443563938,4.627441488,1.135932847,0.18387755,0.003529063,0.011990346
G15601,MPZL1,MPZL1,myelin protein zero like 1,Plasma Membrane,other,7.574545416,7.757637973,1.135314937,0.183092557,0.002061543,0.008230775
G18623,PPAPDC2,PLPP6,phospholipid phosphatase 6,Plasma Membrane,phosphatase,5.157246121,5.340119969,1.135142838,0.182873848,0.003946355,0.013042004
G24660,TUBB3,TUBB3,tubulin beta 3 class III,Cytoplasm,other,9.947161868,10.12987466,1.135016126,0.182712795,0.001948624,0.007931995
G26005,ZNF354A,ZNF354A,zinc finger protein 354A,Nucleus,transcription regulator,4.368265819,4.55094566,1.1349902,0.182679841,0.01510269,0.034837021
G24534,TTBK2,TTBK2,tau tubulin kinase 2,Cytoplasm,kinase,6.569083334,6.751647763,1.134899408,0.182564429,0.009349933,0.024439878
G18366,PLEKHO2,PLEKHO2,pleckstrin homology domain containing O2,Cytoplasm,other,2.568435265,2.75092606,1.134841484,0.182490794,0.011041495,0.027593725
G13100,MAPK1IP1L,MAPK1IP1L,mitogen-activated protein kinase 1 interacting protein 1 like,Nucleus,other,7.086384835,7.268829819,1.13480545,0.182444985,0.002718126,0.010015722
G24580,TTC9C,TTC9C,tetratricopeptide repeat domain 9C,Other,other,3.815039788,3.997466446,1.134791035,0.182426658,0.019112016,0.041761019
G3336,CENPL,CENPL,centromere protein L,Cytoplasm,other,2.567437499,2.749834177,1.134767453,0.182396678,0.00109048,0.005305055
G25841,ZNF101,ZNF101,zinc finger protein 101,Nucleus,transcription regulator,2.665913176,2.848297404,1.13475766,0.182384227,0.011114031,0.02773588
G11040,LIX1L,LIX1L,limb and CNS expressed 1 like,Other,other,5.153669105,5.335569301,1.134377007,0.181900196,0.005107959,0.015655198
G19567,RASGEF1C,RASGEF1C,RasGEF domain family member 1C,Other,other,4.484135481,4.665660935,1.134082389,0.181525454,0.01347763,0.032040084
G16629,NPM1,NPM1,nucleophosmin 1,Nucleus,transcription regulator,7.824800612,8.006296723,1.134059323,0.18149611,0.005403774,0.016331143
G22711,SSX2IP,SSX2IP,SSX family member 2 interacting protein,Plasma Membrane,other,5.230960323,5.411906676,1.133627258,0.180946353,0.012529205,0.03029825
G19707,RCN2,RCN2,reticulocalbin 2,Cytoplasm,other,7.998725401,8.17963149,1.13359562,0.180906089,0.022725016,0.047732155
G20046,RNF167,RNF167,ring finger protein 167,Cytoplasm,enzyme,5.780174347,5.960892378,1.133447863,0.180718031,0.00834197,0.022431419
G19242,PTPRA,PTPRA,protein tyrosine phosphatase receptor type A,Plasma Membrane,phosphatase,8.480477176,8.66105197,1.133335335,0.180574794,0.000981832,0.004952282
G5707,ENTPD6,ENTPD6,ectonucleoside triphosphate diphosphohydrolase 6,Cytoplasm,enzyme,6.820374169,7.00065923,1.133107753,0.180285061,0.022193081,0.046899427
G13435,MGAT5B,MGAT5B,"alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B",Cytoplasm,enzyme,6.005474888,6.185522715,1.132921442,0.180047827,0.003894232,0.012924849
G20739,SCO1,SCO1,synthesis of cytochrome C oxidase 1,Cytoplasm,other,4.942187333,5.121972454,1.132715163,0.179785121,0.009186234,0.024123832
G13300,MED30,MED30,mediator complex subunit 30,Nucleus,transcription regulator,3.312270128,3.491711645,1.132445419,0.179441517,0.022445976,0.047282175
G6612,FH,FH,fumarate hydratase,Cytoplasm,enzyme,5.200479856,5.379648479,1.13223123,0.179168623,0.012718813,0.030619455
G18000,PFKL,PFKL,"phosphofructokinase, liver type",Cytoplasm,kinase,5.50668853,5.685846801,1.132223106,0.179158271,0.013364878,0.031822666
G6350,FAM91A1,FAM91A1,family with sequence similarity 91 member A1,Cytoplasm,other,5.634429717,5.813558037,1.132199601,0.17912832,0.014654572,0.034056709
G26271,ZNF704,ZNF704,zinc finger protein 704,Nucleus,other,8.264691881,8.443709916,1.132113055,0.179018035,0.002131429,0.00839775
G15612,MRFAP1,MRFAP1,Morf4 family associated protein 1,Nucleus,other,8.302676102,8.481604803,1.132042954,0.178928701,0.002376015,0.009056457
G25563,YIPF3,YIPF3,Yip1 domain family member 3,Cytoplasm,other,6.195436713,6.374043588,1.131790454,0.178606875,0.00858815,0.022878272
G22345,SORT1,SORT1,sortilin 1,Plasma Membrane,G-protein coupled receptor,7.968056796,8.146572897,1.131719245,0.178516102,0.012077286,0.029452336
G21026,SFXN5,SFXN5,sideroflexin 5,Cytoplasm,transporter,3.116252997,3.294613602,1.131597273,0.178360605,0.011364766,0.028247933
G16229,NDRG3,NDRG3,NDRG family member 3,Cytoplasm,other,5.953595381,6.131950962,1.131593332,0.178355581,0.001814304,0.007536106
G6888,FRS2,FRS2,fibroblast growth factor receptor substrate 2,Plasma Membrane,other,6.411951852,6.590189154,1.131500562,0.178237301,0.002069164,0.008246734
G5067,DNAJB12,DNAJB12,DnaJ heat shock protein family (Hsp40) member B12,Cytoplasm,other,5.697795356,5.875955998,1.13144044,0.178160642,0.021722151,0.046138493
G19847,RGS4,RGS4,regulator of G protein signaling 4,Cytoplasm,enzyme,3.884727356,4.062659239,1.131261049,0.177931883,0.006292792,0.018250794
G19920,RIN2,RIN2,Ras and Rab interactor 2,Cytoplasm,other,5.658788403,5.836720263,1.131261031,0.17793186,0.005600845,0.016805604
G9370,KDELR1,KDELR1,KDEL endoplasmic reticulum protein retention receptor 1,Cytoplasm,transporter,6.809583523,6.987413361,1.131181036,0.177829839,0.005126364,0.015695456
G11668,LOC101927740, , , , ,3.147622839,3.324950006,1.130786973,0.177327168,0.003354165,0.01160762
G1329,ATF7IP,ATF7IP,activating transcription factor 7 interacting protein,Nucleus,transcription regulator,8.266530594,8.443827112,1.13076295,0.177296518,0.014237617,0.03339432
G20030,RNF14,RNF14,ring finger protein 14,Cytoplasm,transcription regulator,6.636590074,6.81369711,1.130614446,0.177107036,0.0190835,0.04172266
G18253,PKN2,PKN2,protein kinase N2,Cytoplasm,kinase,5.348415361,5.525499391,1.130596417,0.17708403,0.002123149,0.008383769
G22278,SNTG1,SNTG1,syntrophin gamma 1,Nucleus,other,4.6361577,4.813101922,1.130486859,0.176944222,0.010916593,0.027347707
G20882,SEPHS1,SEPHS1,selenophosphate synthetase 1,Other,enzyme,6.966255404,7.142583261,1.130003982,0.176327857,0.015479253,0.035507523
G5547,EIF3C,EIF3C,eukaryotic translation initiation factor 3 subunit C,Cytoplasm,translation regulator,8.476552462,8.652481931,1.129691984,0.175929469,0.005060365,0.015543267
G19176,PTDSS1,PTDSS1,phosphatidylserine synthase 1,Cytoplasm,enzyme,7.139641472,7.31511009,1.129331176,0.175468618,0.000288236,0.002177638
G6022,FAM114A2,FAM114A2,family with sequence similarity 114 member A2,Other,other,5.151873406,5.327316946,1.129311545,0.17544354,0.010018539,0.025700319
G7103,GART,GART,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase",Cytoplasm,enzyme,5.372586106,5.547900675,1.129210594,0.17531457,0.016601235,0.037484501
G19136,PSMD7,PSMD7,"proteasome 26S subunit, non-ATPase 7",Cytoplasm,other,6.198127343,6.373441883,1.129210572,0.17531454,0.018351841,0.040479795
G24145,TOPORS,TOPORS,"TOP1 binding arginine/serine rich protein, E3 ubiquitin ligase",Nucleus,enzyme,5.045422167,5.220731879,1.129206792,0.175309712,0.0114,0.028307146
G23591,TIMM22,TIMM22,translocase of inner mitochondrial membrane 22,Cytoplasm,transporter,5.60542404,5.780564815,1.129074572,0.175140775,0.002668764,0.009869014
G7322,GLA,GLA,galactosidase alpha,Cytoplasm,enzyme,2.609942727,2.785001123,1.129010102,0.175058396,0.002863418,0.010381461
G18902,PRKG2,PRKG2,protein kinase cGMP-dependent 2,Cytoplasm,kinase,5.807484526,5.982346594,1.128856473,0.174862068,0.020224675,0.043663471
G3131,CDC23,CDC23,cell division cycle 23,Nucleus,enzyme,4.815126665,4.989946648,1.128823543,0.174819983,0.019257448,0.042024103
G7347,GLMN,GLMN,"glomulin, FKBP associated protein",Cytoplasm,other,3.000601467,3.174704291,1.128262548,0.174102823,0.008115137,0.021962043
G16562,NOP56,NOP56,NOP56 ribonucleoprotein,Nucleus,other,6.411183617,6.585127006,1.128137868,0.173943388,0.009351973,0.024440059
G24490,TSPAN3,TSPAN3,tetraspanin 3,Plasma Membrane,other,8.334698496,8.508454909,1.12799167,0.173756414,0.017566542,0.039179612
G9683,KPNB1,KPNB1,karyopherin subunit beta 1,Nucleus,other,7.761829364,7.934601582,1.127222425,0.172772217,0.015231164,0.03506815
G19237,PTPN4,PTPN4,protein tyrosine phosphatase non-receptor type 4,Cytoplasm,phosphatase,6.458241341,6.630850722,1.127095203,0.172609382,0.001586543,0.006875573
G21442,SLC35A4,SLC35A4,solute carrier family 35 member A4,Cytoplasm,transporter,4.831153257,5.00374967,1.127085071,0.172596413,0.018220539,0.040276126
G21446,SLC35B3,SLC35B3,solute carrier family 35 member B3,Cytoplasm,transporter,4.37880364,4.55054238,1.126415225,0.17173874,0.020834529,0.044638222
G18699,PPP1R15B,PPP1R15B,protein phosphatase 1 regulatory subunit 15B,Cytoplasm,phosphatase,7.140432794,7.312116113,1.126371955,0.171683318,0.004545512,0.014442848
G19144,PSMG1,PSMG1,proteasome assembly chaperone 1,Plasma Membrane,other,4.25190188,4.423427446,1.126248797,0.171525565,0.018545478,0.040798078
G9132,IVD,IVD,isovaleryl-CoA dehydrogenase,Cytoplasm,enzyme,5.070471146,5.241952176,1.126214031,0.17148103,0.000592289,0.003538612
G18490,POLA2,POLA2,"DNA polymerase alpha 2, accessory subunit",Nucleus,enzyme,2.881183198,3.052134826,1.125800839,0.170951628,0.010210659,0.026063552
G4733,DDX43,DDX43,DEAD-box helicase 43,Other,enzyme,2.5,2.670866199,1.125734176,0.170866199,0.020195242,0.043615111
G5810,ERICH1,ERICH1,glutamate rich 1,Other,other,4.514327371,4.684769968,1.125403689,0.170442597,0.006435455,0.018540988
G6951,FXR1,FXR1,FMR1 autosomal homolog 1,Cytoplasm,other,7.156395255,7.326566567,1.125192087,0.170171312,0.005072615,0.015569324
G20090,RNF4,RNF4,ring finger protein 4,Nucleus,transcription regulator,6.043995455,6.214065965,1.125113471,0.170070509,0.000433857,0.002884926
G25864,ZNF148,ZNF148,zinc finger protein 148,Nucleus,transcription regulator,6.450687068,6.620718864,1.12508328,0.170031796,0.000520059,0.003241354
G24195,TPM3,TPM3,tropomyosin 3,Cytoplasm,other,7.512289721,7.682237529,1.125017784,0.169947808,0.002240334,0.008695464
G3751,CLPTM1,CLPTM1,CLPTM1 regulator of GABA type A receptor forward trafficking,Plasma Membrane,other,7.183401892,7.353316561,1.124991943,0.169914669,0.005549547,0.016678224
G10096,LIG4,LIG4,DNA ligase 4,Nucleus,enzyme,5.724552737,5.894199276,1.124782878,0.169646539,0.008708275,0.023122512
G2977,CCNDBP1,CCNDBP1,cyclin D1 binding protein 1,Nucleus,other,5.943360888,6.111960276,1.123966774,0.168599389,0.013367418,0.031822666
G24126,TOMM34,TOMM34,translocase of outer mitochondrial membrane 34,Cytoplasm,other,3.79911046,3.967431939,1.123750283,0.168321479,0.015564346,0.035640695
G23938,TMEM59,TMEM59,transmembrane protein 59,Plasma Membrane,peptidase,7.833659795,8.001366348,1.123271404,0.167706553,0.00310716,0.011013123
G15464,MLLT10,MLLT10,MLLT10 histone lysine methyltransferase DOT1L cofactor,Nucleus,transcription regulator,6.409286659,6.576894289,1.123194386,0.16760763,0.000209903,0.001766234
G4736,DDX49,DDX49,DEAD-box helicase 49,Nucleus,enzyme,5.904597734,6.072125709,1.123132373,0.167527974,0.011784615,0.028958213
G2915,CCDC88A,CCDC88A,coiled-coil domain containing 88A,Cytoplasm,other,8.814490399,8.981942074,1.123072975,0.167451675,0.003057454,0.010884501
G5323,DUSP28,DUSP28,dual specificity phosphatase 28,Other,enzyme,2.536797804,2.703610357,1.122575559,0.166812554,0.02173362,0.04614999
G15809,MTERF3,MTERF3,mitochondrial transcription termination factor 3,Cytoplasm,other,3.134647011,3.301358437,1.122496873,0.166711426,0.016386979,0.037122867
G1372,ATP13A3,ATP13A3,ATPase 13A3,Extracellular Space,transporter,6.860759991,7.027455797,1.12248472,0.166695807,0.021096969,0.04508908
G16170,NCAPG,NCAPG,non-SMC condensin I complex subunit G,Nucleus,other,3.310887954,3.47718088,1.122171304,0.166292925,0.0179498,0.039819598
G7697,GREB1L,GREB1L,GREB1 like retinoic acid receptor coactivator,Extracellular Space,other,8.008803652,8.174980127,1.122080728,0.166176475,0.013536842,0.032133484
G19361,R3HDM4,R3HDM4,R3H domain containing 4,Other,other,6.507674249,6.673601907,1.121887223,0.165927657,0.012960111,0.031061486
G19377,RAB18,RAB18,"RAB18, member RAS oncogene family",Cytoplasm,enzyme,6.85292597,7.018107301,1.121307005,0.165181331,0.01005964,0.025773542
G590,AKT3,AKT3,AKT serine/threonine kinase 3,Cytoplasm,kinase,7.925717472,8.090820304,1.121245995,0.165102832,0.023490099,0.048957061
G19433,RAB7A,RAB7A,"RAB7A, member RAS oncogene family",Cytoplasm,enzyme,8.038704699,8.203615476,1.121096742,0.164910777,0.008498936,0.022727967
G2728,CBFA2T2,CBFA2T2,CBFA2/RUNX1 partner transcriptional co-repressor 2,Nucleus,transcription regulator,6.374990087,6.539322754,1.120647591,0.164332667,0.004013681,0.013189112
G913,AP3S1,AP3S1,adaptor related protein complex 3 subunit sigma 1,Cytoplasm,transporter,5.777495744,5.941792652,1.120619815,0.164296908,0.013523676,0.032120673
G5374,E2F4,E2F4,E2F transcription factor 4,Nucleus,transcription regulator,5.377836929,5.541996361,1.120513035,0.164159432,0.022836449,0.047913131
G20050,RNF170,RNF170,ring finger protein 170,Other,other,6.26880857,6.432519975,1.120165115,0.163711405,0.012791054,0.030757551
G25012,USP13,USP13,ubiquitin specific peptidase 13,Cytoplasm,peptidase,5.532563448,5.696163946,1.120079006,0.163600498,0.009599937,0.024878398
G18518,POLR2C,POLR2C,RNA polymerase II subunit C,Nucleus,enzyme,5.389598835,5.55211477,1.11923729,0.162515935,0.020232201,0.043664518
G25169,VEZT,VEZT,"vezatin, adherens junctions transmembrane protein",Plasma Membrane,other,7.893021141,8.054980134,1.1188053,0.161958993,0.002895742,0.010480269
G16345,NEUROD1,NEUROD1,neuronal differentiation 1,Nucleus,transcription regulator,3.710674673,3.872430257,1.118647568,0.161755584,0.001906576,0.007817275
G5576,EIF4H,EIF4H,eukaryotic translation initiation factor 4H,Cytoplasm,translation regulator,7.2296038,7.390921948,1.118308437,0.161318148,0.005242748,0.015953337
G3124,CDC123,CDC123,cell division cycle 123,Cytoplasm,other,5.887047476,6.047961774,1.117995435,0.160914298,0.012090039,0.029477639
G9181,JRKL,JRKL,JRK like,Nucleus,other,4.135005574,4.295518259,1.117684254,0.160512684,0.014592829,0.033970507
G719,ANAPC13,ANAPC13,anaphase promoting complex subunit 13,Nucleus,other,5.487992725,5.648468749,1.117655853,0.160476024,0.023308143,0.048668501
G21284,SLC19A2,SLC19A2,solute carrier family 19 member 2,Plasma Membrane,transporter,4.701130223,4.861537408,1.117602525,0.160407185,0.001927852,0.007873279
G21344,SLC25A24,SLC25A24,solute carrier family 25 member 24,Cytoplasm,transporter,6.115422033,6.275781899,1.117565869,0.160359866,0.000316116,0.002332412
G17554,PAFAH1B2,PAFAH1B2,platelet activating factor acetylhydrolase 1b catalytic subunit 2,Cytoplasm,enzyme,8.625101015,8.785233874,1.117390035,0.16013286,0.004900795,0.015197868
G18169,PIK3CB,PIK3CB,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",Cytoplasm,kinase,5.160990405,5.320307408,1.11675832,0.159317003,0.023061566,0.048259254
G942,APH1A,APH1A,"aph-1 homolog A, gamma-secretase subunit",Cytoplasm,peptidase,5.424308155,5.583483648,1.116648786,0.159175493,0.009914989,0.025503702
G5171,DOLPP1,DOLPP1,dolichyldiphosphatase 1,Cytoplasm,enzyme,5.334678024,5.493399326,1.116297296,0.158721301,0.014670562,0.034074716
G9922,LAPTM4B,LAPTM4B,lysosomal protein transmembrane 4 beta,Cytoplasm,other,6.699844558,6.858030328,1.115883001,0.15818577,0.022336543,0.047122926
G8044,HDHD2,HDHD2,haloacid dehalogenase like hydrolase domain containing 2,Cytoplasm,other,6.537534173,6.695587716,1.115780732,0.158053543,0.009410793,0.024547829
G16553,NOMO1,NOMO1 (includes others),NODAL modulator 1,Plasma Membrane,other,6.725664862,6.883678127,1.115749581,0.158013265,0.004081402,0.013332007
G9881,LACTB,LACTB,lactamase beta,Cytoplasm,peptidase,3.937763237,4.095770994,1.115745322,0.158007758,0.018186076,0.040221451
G13127,44987,#N/A,#N/A,#N/A,#N/A,4.336353575,4.494315508,1.115709883,0.157961933,0.014602962,0.033974965
G24861,UCHL3,UCHL3,ubiquitin C-terminal hydrolase L3,Cytoplasm,peptidase,4.247994588,4.40543144,1.115303885,0.157436852,0.013313649,0.031731205
G20918,SERINC3,SERINC3,serine incorporator 3,Cytoplasm,transporter,6.964102968,7.121023827,1.114905058,0.15692086,0.007194268,0.020092436
G4230,CSPG5,CSPG5,chondroitin sulfate proteoglycan 5,Extracellular Space,growth factor,4.796081002,4.952891623,1.114819869,0.156810621,0.021876513,0.046389877
G6482,FBXW11,FBXW11,F-box and WD repeat domain containing 11,Cytoplasm,enzyme,7.476483992,7.63329079,1.114816916,0.156806798,0.007334891,0.020384193
G23305,TCF12,TCF12,transcription factor 12,Nucleus,transcription regulator,7.015241532,7.172013529,1.114790024,0.156771997,0.002842602,0.010336204
G13490,MIER1,MIER1,MIER1 transcriptional regulator,Nucleus,transcription regulator,5.935911476,6.092332826,1.114519107,0.15642135,0.014026005,0.033058044
G5535,EIF2B1,EIF2B1,eukaryotic translation initiation factor 2B subunit alpha,Cytoplasm,translation regulator,5.151409674,5.307750848,1.114457171,0.156341174,0.003088153,0.010965461
G4688,DDI2,DDI2,DNA damage inducible 1 homolog 2,Plasma Membrane,transporter,4.747332684,4.903453633,1.114287064,0.156120949,0.010631427,0.02685572
G19141,PSME3,PSME3,proteasome activator subunit 3,Cytoplasm,peptidase,6.589149798,6.745218477,1.114246693,0.156068679,0.019009947,0.041576508
G20603,SAR1B,SAR1B,secretion associated Ras related GTPase 1B,Cytoplasm,enzyme,7.127510583,7.283348116,1.114068185,0.155837533,0.000632448,0.003707116
G24812,UBE3A,UBE3A,ubiquitin protein ligase E3A,Nucleus,enzyme,7.851706613,8.007376306,1.113938584,0.155669693,0.000440965,0.002923192
G1554,BACE1,BACE1,beta-secretase 1,Cytoplasm,peptidase,7.469975727,7.625642182,1.113936084,0.155666455,0.023967217,0.04976819
G6103,FAM168A,FAM168A,family with sequence similarity 168 member A,Other,other,7.714178849,7.869754605,1.113866055,0.155575756,0.0179086,0.039756644
G3226,CDK9,CDK9,cyclin dependent kinase 9,Nucleus,kinase,5.540286196,5.695330262,1.113455628,0.155044066,0.001552483,0.006766672
G19760,RER1,RER1,retention in endoplasmic reticulum sorting receptor 1,Cytoplasm,other,6.079187368,6.233851685,1.11316258,0.154664317,0.00704733,0.019820313
G19496,RALA,RALA,RAS like proto-oncogene A,Cytoplasm,enzyme,6.581169526,6.735618014,1.112996062,0.154448488,0.003321589,0.011510945
G1758,BMP2K,BMP2K,BMP2 inducible kinase,Nucleus,kinase,4.748995428,4.903295714,1.112881734,0.154300286,0.002861751,0.010378451
G1691,BET1,BET1,Bet1 golgi vesicular membrane trafficking protein,Cytoplasm,transporter,4.014745107,4.167893238,1.111993327,0.153148131,0.017162439,0.03845978
G2754,CBX5,CBX5,chromobox 5,Nucleus,transcription regulator,9.863642192,10.01646504,1.111742638,0.152822851,0.009367987,0.024461293
G16431,NIPAL3,NIPAL3,NIPA like domain containing 3,Other,other,5.671190196,5.823937926,1.111684751,0.15274773,0.012189626,0.029656322
G8071,HELZ,HELZ,helicase with zinc finger,Nucleus,enzyme,7.256593109,7.408987314,1.111412372,0.152394205,0.010784462,0.027142792
G22883,STX17,STX17,syntaxin 17,Plasma Membrane,transporter,5.313847485,5.46591814,1.111163145,0.152070654,0.01819226,0.040227956
G23982,TMF1,TMF1,TATA element modulatory factor 1,Cytoplasm,transcription regulator,6.715188114,6.867164005,1.111090161,0.151975891,0.015968676,0.036374562
G13394,MFAP3,MFAP3,microfibril associated protein 3,Extracellular Space,other,7.448026057,7.599401066,1.110627489,0.15137501,0.008515944,0.022763632
G6510,FCHSD2,FCHSD2,FCH and double SH3 domains 2,Plasma Membrane,other,6.447128588,6.597771408,1.110063972,0.15064282,0.004487925,0.014291074
G1418,ATP5SL,DMAC2,distal membrane arm assembly component 2,Cytoplasm,other,5.212705117,5.363074231,1.109853392,0.150369114,0.021220545,0.045281497
G19590,RASSF8,RASSF8,Ras association domain family member 8,Extracellular Space,other,6.189118743,6.339467673,1.109837865,0.15034893,0.004175066,0.013559398
G24910,UHMK1,UHMK1,U2AF homology motif kinase 1,Nucleus,kinase,6.55506696,6.705256537,1.109715284,0.150189577,0.016513132,0.03734726
G25518,XPNPEP1,XPNPEP1,X-prolyl aminopeptidase 1,Cytoplasm,peptidase,5.089814258,5.239497284,1.109325716,0.149683026,0.007476521,0.020694329
