PG.ProteinGroups,PG.Genes,ConditionNorm_N40_N_2,ConditionNorm_N40_N_3,ConditionNorm_N40_N_4,ConditionNorm_N40_N_5,ConditionNorm_N41_N_1,ConditionNorm_N41_N_2,ConditionNorm_N41_N_3,ConditionNorm_N41_N_4,ConditionNorm_N41_N_5,MedianConditionNormN40N,MedianConditionNormN41N,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog(adj.P.Val),TotalPeptidesOverallInGene,NES Assoc
Q9NRL3,STRN4,0.09388902,0.126767521,0.109957561,0.092112363,0.217302648,0.234380111,0.220552963,0.137477662,0.210983837,0.101923291,0.217302648,-0.09674673,0.154054981,-4.274651409,0.004481887,0.018974142,-3.33589902,"80,596",1.721837843,14,1
A0JLT2,MED19,0.197346926,0.276279417,0.289038789,0.245666035,0.374490957,0.41829623,0.34584974,0.331557532,0.323374003,0.260972726,0.34584974,-0.115465823,0.309815703,-4.272349066,0.00449383,0.019007299,-3.33885112,"26,273",1.721079597,7,1
Q9H9A7,RMI1,0.352606929,0.005785904,0.082660937,0.018849026,0.533170662,1.200320952,0.948495725,0.628903945,0.983271493,0.050754981,0.948495725,-0.712747122,0.47134926,-4.2672049,0.004520644,0.019094505,-3.345449823,"70,144",1.719091604,6,1
Q9NRF8,CTPS2,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.014306459,0.017695233,0.023781,0.006050035,0.015820767,1.00E-07,0.015820767,-0.015458082,0.007729141,-4.262390327,0.0045459,0.019162975,-3.351629213,"65,678",1.717537056,21,1
Q93096,PTP4A1,0.231105692,0.254897149,0.264128476,0.267782236,0.293663052,0.293320956,0.319523699,0.339143984,0.373112741,0.259512813,0.319523699,-0.056934534,0.282945656,-4.256262657,0.004578272,0.019241229,-3.359498786,"19,815",1.7157672,4,1
Q08AE8,SPIRE1,0.14093867,0.112264843,0.139550149,0.032059441,0.235841795,0.186829166,0.284269816,0.277592404,0.195384284,0.125907496,0.235841795,-0.13993002,0.176168286,-4.250165003,0.00461074,0.019316222,-3.367335207,"85,544",1.714077822,8,1
Q92945,KHSRP,0.053666937,0.054840461,0.064513396,0.068694826,0.074382828,0.106397628,0.092723329,0.09169469,0.098259922,0.059676929,0.092723329,-0.030870714,0.075864262,-4.233337233,0.004701677,0.01962269,-3.388989398,"73,115",1.707241452,27,1
P42336,PIK3CA,0.115245238,0.098849408,0.202545962,0.191443055,0.315664914,0.287503354,0.236853277,0.274621353,0.267677691,0.153344146,0.274621353,-0.126639809,0.21534082,-4.232011408,0.004708926,0.019638579,-3.390697228,"124,284",1.706889931,13,1
Q9UPA5,BSN,0.554501992,0.575025021,0.571320079,0.388724389,0.353303004,1.00E-07,1.00E-07,0.182135827,1.00E-07,0.562911035,1.00E-07,0.388533112,0.328126314,4.191282175,0.004937778,0.020359774,-3.443285451,"416,469",1.691227047,29,1
P42575,CASP2,0.948422362,0.873966792,0.656735518,0.701119397,1.574762667,1.203489723,1.965701141,1.349044232,1.334280911,0.787543095,1.349044232,-0.728188423,1.159155229,-4.186089279,0.004967834,0.020458162,-3.450007571,"50,685",1.689133392,8,1
Q09019,DMWD,1.00E-07,0.076922271,0.151675303,1.00E-07,0.276240103,0.397767527,0.371942959,0.670829767,0.138986518,0.038461186,0.371942959,-0.372045645,0.243172266,-4.177043036,0.005020678,0.020659186,-3.461727083,"70,438",1.684886794,5,1
Q14004,CDK13,1.00E-07,0.105598813,1.00E-07,0.116736721,0.16202238,0.258208219,0.190329678,0.236389766,0.221577504,0.052799457,0.221577504,-0.156153577,0.133660722,-4.157469662,0.005137166,0.020979786,-3.487125018,"164,923",1.678198942,18,1
A8MVW0,FAM171A2,0.069505431,0.036970739,0.38847296,0.116229917,0.476157016,0.422663871,0.600584693,0.540948888,0.62629839,0.092867674,0.540948888,-0.357293855,0.331441689,-4.150956962,0.005176588,0.021112805,-3.495587984,"87,435",1.675454066,15,1
Q9BZI7,UPF3B,0.090790504,0.048771657,0.021890927,0.080054644,0.161203491,0.105211565,0.140679428,0.149214084,0.155232297,0.064413151,0.149214084,-0.078700209,0.099727037,-4.125567898,0.005333504,0.02165726,-3.528638261,"57,762",1.664396485,12,1
Q14684,RRP1B,0.071277239,0.080089943,0.079636042,0.074436654,0.085747356,0.083332671,0.089509597,0.0885465,0.080224924,0.077036348,0.085747356,-0.010424062,0.081572,-4.112280301,0.005417726,0.021922228,-3.545972383,"84,428",1.659115318,31,1
Q9H9A6,LRRC40,0.039294266,0.03950176,0.053364916,0.030675705,0.059193677,0.058516665,0.072202654,0.063275792,0.050750918,0.039398013,0.059193677,-0.022588035,0.052003179,-4.109298715,0.005436826,0.021980275,-3.549865448,"68,250",1.65796687,30,1
Q9H2U1,DHX36,0.153470902,0.171784784,0.183633684,0.173380557,0.22230906,0.258195392,0.196468129,0.229896713,0.208651752,0.172582671,0.22230906,-0.056149842,0.198642403,-4.097152591,0.005515409,0.022229936,-3.565737865,"114,760",1.653061788,38,1
Q9Y580,RBM7,0.098104943,0.042558483,0.026607102,0.03904042,0.124355573,0.178486158,0.209059149,0.286554798,0.171075273,0.040799452,0.178486158,-0.148036182,0.125595828,-4.094758907,0.005531044,0.022244468,-3.568868402,"30,504",1.652777973,10,1
Q9NW07,ZNF358,0.522981548,0.477239893,0.443864189,0.527932574,1.00E-07,0.376016918,0.156209111,1.00E-07,1.00E-07,0.50011072,1.00E-07,0.359947994,0.313030554,4.084545863,0.005598306,0.022475875,-3.58223458,"59,287",1.648283387,7,1
Q8N3Y1,FBXW8,1.00E-07,1.00E-07,0.112225838,1.00E-07,0.165852369,0.110048768,0.219001833,0.212662508,0.035046419,1.00E-07,0.165852369,-0.148834835,0.102473952,-4.080120615,0.005627732,0.022554837,-3.588030703,"67,394",1.646760316,7,1
Q9H1K0,RBSN,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.025783261,0.12201436,0.077246349,0.088483049,0.054779187,1.00E-07,0.077246349,-0.078381655,0.039190927,-4.063953709,0.005736698,0.022861005,-3.609229711,"88,870",1.640904676,9,1
Q96G61,NUDT11,0.235601919,0.220844203,0.217397873,0.317052404,0.168256417,0.130556987,0.154608633,0.149854104,0.15672487,0.228223061,0.154608633,0.096905064,0.199271567,4.056659329,0.005786626,0.02300484,-3.618806779,"18,559",1.638180778,2,1
Q96B54,ZNF428,0.259523397,0.311638405,0.35003497,0.267795563,0.361921741,0.390631364,0.393568292,0.420497068,0.330621738,0.289716984,0.390631364,-0.094406532,0.34445135,-4.041459141,0.005892221,0.023321691,-3.638788112,"20,481",1.632239956,4,1
P55957,BID,0.120157284,0.092782758,0.097810262,0.191032352,1.00E-07,1.00E-07,0.062652462,0.016435062,0.138915316,0.108983773,0.016435062,0.105673733,0.072608797,4.03821917,0.005915003,0.023386485,-3.643051464,"21,995",1.631035048,3,1
Q15906,VPS72,0.125722725,0.139483974,0.039910269,0.140109108,0.27289975,0.207949359,0.278155201,0.193285903,0.242668121,0.132603349,0.242668121,-0.126766034,0.174689536,-4.037000459,0.005923598,0.023398759,-3.644655507,"40,594",1.630807182,9,1
O95400,CD2BP2,0.470108966,0.365424052,0.329516793,0.392467796,0.497264972,0.502473118,0.546982181,0.508722933,0.546908312,0.378945924,0.508722933,-0.124481399,0.451620101,-4.036413907,0.00592774,0.023402169,-3.64542759,"37,646",1.630743889,9,1
Q5VT06,CEP350,0.543632394,0.540536204,0.478926338,0.368209974,0.618856458,0.850565184,0.868836752,1.015018221,0.879972587,0.509731271,0.868836752,-0.355492926,0.660572691,-4.016077911,0.006073329,0.023864854,-3.672226355,"350,930",1.62224121,16,1
Q13153,PAK1,0.150797994,0.165696857,0.124296804,0.12954752,1.00E-07,0.097074606,0.058630041,0.066676926,0.062745517,0.140172757,0.062745517,0.086989375,0.099090106,4.006998449,0.006139605,0.024094562,-3.684210278,"60,647",1.618080958,10,1
Q9UPY3,DICER1,0.029278607,0.034784157,0.036644199,0.029235825,0.025503583,0.006048159,0.00021138,1.00E-07,0.032901984,0.032031382,0.006048159,0.024544891,0.020213251,4.002463057,0.006173011,0.024194852,-3.690200902,"218,682",1.616277022,52,1
O95502,NPTXR,1.660471297,1.520338124,1.655031682,1.632217392,2.467583321,1.776673022,2.456359605,2.458317102,2.672181033,1.643624537,2.458317102,-0.672718639,1.953373943,-3.996581164,0.006216634,0.024334884,-3.697974421,"52,846",1.613770717,3,1
Q8IY45,AMN1,0.181880087,0.335071092,0.077134527,0.22969258,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.018334133,0.205786333,1.00E-07,0.205944471,0.102972336,3.978950601,0.006349447,0.024739564,-3.721304416,"28,408",1.606607957,2,1
Q2KHR3,QSER1,0.20109463,0.177758885,0.275487354,0.278057746,0.36839109,0.309538499,0.393222485,0.443527296,0.376493406,0.238290992,0.376493406,-0.145570189,0.305884748,-3.97676957,0.006366094,0.024783538,-3.724193571,"189,972",1.605836697,16,1
Q86V21,AACS,0.131087601,0.011445703,0.07860261,0.076664106,0.209811977,0.207026581,0.161740573,0.155747099,0.16700737,0.077633358,0.16700737,-0.109131552,0.129015781,-3.972701201,0.006397275,0.02488096,-3.729584635,"75,144",1.604132867,17,1
Q86UU1,PHLDB1,0.061672575,1.00E-07,0.005243509,0.012102308,0.160795639,0.186659632,0.110053548,0.071626889,0.171686303,0.008672909,0.160795639,-0.112529304,0.076019275,-3.961652416,0.006482811,0.025132107,-3.744237384,"151,162",1.599771105,24,1
Q96PE3,INPP4A,0.032182486,0.052649577,0.054243847,0.012562782,0.09905357,0.14761262,0.096059088,0.079426917,0.11375029,0.042416031,0.09905357,-0.067628376,0.071723861,-3.959174506,0.006502168,0.025164941,-3.747525926,"109,956",1.59920409,21,1
Q8N6W0,CELF5,6.235908628,2.152472305,5.446422028,2.294823472,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,3.87062275,1.00E-07,4.032406508,2.016203354,3.946955927,0.006598552,0.025399757,-3.763754406,"52,355",1.595170438,3,1
Q9BRU9,UTP23,0.16775878,0.096784835,0.175298453,0.104638671,0.219188806,0.211971081,0.205864246,0.235545603,0.243082188,0.136198725,0.219188806,-0.08202225,0.177131309,-3.938328313,0.006667561,0.025601441,-3.775226123,"28,402",1.591735591,5,1
Q96K58,ZNF668,0.234625038,0.182648948,0.111038723,0.159697232,0.325956158,0.23416622,0.332510813,0.346236528,0.201289159,0.17117309,0.325956158,-0.137714945,0.240859958,-3.935172198,0.006693004,0.025668692,-3.779425274,"67,890",1.590596253,12,1
Q5BJF6,ODF2,0.919964062,0.781782675,0.796524506,0.866817007,1.004808083,0.995312664,0.980305903,0.931692698,1.00188066,0.831670757,0.995312664,-0.136757774,0.90965095,-3.929537287,0.006738698,0.025810273,-3.786925906,"95,401",1.5882074,13,1
P41208,CETN2,0.100980427,0.079925412,0.088809439,0.103773811,0.199878755,0.346101134,0.211368045,0.183563105,0.206783717,0.094894933,0.206783717,-0.141855487,0.164300016,-3.881975188,0.007138397,0.027020892,-3.850413424,"19,738",1.568300319,5,1
Q2QGD7,ZXDC,2.78986483,1.872458606,1.719617868,1.925887934,3.593035983,3.313317124,3.190393753,2.727412816,3.649264838,1.89917327,3.313317124,-1.12908261,2.641498614,-3.874015133,0.007207813,0.027210592,-3.861069697,"89,988",1.565262005,5,1
Q8IWX8,CHERP,1.00E-07,1.00E-07,0.0007739,1.00E-07,0.077431113,0.021875332,0.032116704,0.058244323,1.00E-07,1.00E-07,0.032116704,-0.047223318,0.023805209,-3.872941246,0.007217234,0.027216303,-3.862508006,"103,702",1.565170872,30,1
O75781,PALM,0.090769532,1.00E-07,0.002066114,1.00E-07,0.148616168,0.125245538,0.212071624,0.099978055,0.16976225,0.001033107,0.148616168,-0.123268885,0.084843404,-3.872894116,0.007217648,0.027216303,-3.862571133,"42,076",1.565170872,9,1
O75845,SC5D,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.270489286,0.786579813,0.268377054,0.635489313,0.836096791,1.00E-07,0.635489313,-0.490233766,0.245116983,-3.86720378,0.007267803,0.027338529,-3.870195195,"35,301",1.563224862,2,1
Q9Y6Y8,SEC23IP,0.033662781,0.043142063,0.061641077,0.03747748,0.096016392,0.08657848,0.07477017,0.062216852,0.06756896,0.040309772,0.07477017,-0.035914623,0.061938162,-3.864420442,0.007292475,0.027409034,-3.873926026,"111,076",1.562106275,33,1
Q12766,HMGXB3,0.101937523,0.452211595,0.413520376,0.097410353,1.234807563,1.069737404,1.157065612,0.495824327,1.032623066,0.257728949,1.069737404,-0.723088765,0.627814344,-3.862584484,0.0073088,0.027459229,-3.876387564,"168,334",1.561311655,2,1
Q7L099,RUFY3,0.039245324,0.038959188,0.053316735,0.0455405,0.106941315,0.056315536,0.097535686,0.111921263,0.108424759,0.042392912,0.106941315,-0.048913013,0.068721943,-3.862250379,0.007311775,0.027459249,-3.876835562,"52,965",1.561311342,26,1
Q9NV70,EXOC1,0.0024585,1.00E-07,0.033461506,0.020454191,0.055737854,0.09116015,0.041254481,0.091375241,0.035798949,0.011456346,0.055737854,-0.055788357,0.041987753,-3.856147045,0.007366359,0.027653008,-3.885022185,"101,982",1.558257616,29,1
P55287,CDH11,1.477834522,1.401205779,1.291914427,1.262153977,1.511109907,1.580886932,1.564667707,1.549877632,1.679494432,1.346560103,1.564667707,-0.193358368,1.45495636,-3.846779082,0.007451017,0.027857704,-3.897597843,"87,965",1.555054675,11,1
Q7L8A9,VASH1,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.291632522,0.713419557,0.348949419,0.239511409,0.097927217,1.00E-07,0.291632522,-0.398378127,0.199189163,-3.838989831,0.007522225,0.028010669,-3.908063488,"40,957",1.55267652,8,1
P51116,FXR2,0.117272224,0.147420646,0.111668869,0.161668403,0.287266163,0.23684261,0.175309237,0.223521181,0.219675727,0.132346435,0.223521181,-0.096227262,0.182621167,-3.83565066,0.00755298,0.028102558,-3.912552576,"74,223",1.551254148,23,1
Q9P000,COMMD9,0.10441789,1.00E-07,1.00E-07,1.00E-07,0.155427385,0.091205727,0.202598753,0.186859646,0.151643038,1.00E-07,0.155427385,-0.13291833,0.092563713,-3.830464568,0.007601022,0.028247207,-3.919527672,"21,819",1.549024487,11,1
Q9BTU6,PI4K2A,0.216083757,0.22150081,0.202103006,0.156930714,0.285312946,0.26528138,0.268124309,0.237240471,0.17708763,0.209093381,0.26528138,-0.064835205,0.231572174,-3.783976324,0.008047025,0.029548371,-3.982218177,"54,022",1.529466461,25,1
Q8N350,CBARP,0.717450622,0.649652342,0.548624299,0.712198623,0.515530582,0.344549945,0.435033567,0.511332065,0.438375416,0.680925483,0.438375416,0.205369932,0.554296506,3.781222903,0.008074331,0.029636867,-3.985940541,"73,929",1.528167714,10,1
P17029,ZKSCAN1,0.348788106,0.500958131,0.643091323,0.476145972,0.698461754,0.716039301,0.978499202,0.866394529,0.794607545,0.488552051,0.794607545,-0.322602813,0.65354729,-3.723602097,0.008669807,0.031386466,-4.064075327,"63,630",1.503257579,7,1
P52824,DGKQ,0.163992595,0.164412382,0.041125709,0.103298963,1.00E-07,1.00E-07,0.033172518,1.00E-07,1.00E-07,0.133645779,1.00E-07,0.109914208,0.063250308,3.718267006,0.008727339,0.031557675,-4.071332553,"101,155",1.500895,6,1
Q9BYV9,BACH2,0.157580787,1.00E-07,1.00E-07,1.00E-07,0.406312136,0.659803142,0.380729789,0.195033041,0.411558205,1.00E-07,0.406312136,-0.371074255,0.224932399,-3.715796788,0.008754119,0.031629771,-4.074694043,"92,537",1.499903954,9,1
Q96GD3,SCMH1,0.554895458,0.25939859,0.596975957,0.697954319,0.324438234,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.575935707,1.00E-07,0.446196447,0.304207857,3.713506124,0.008779033,0.031682647,-4.077811929,"73,354",1.499178546,1,1
O14562,UBFD1,0.057777403,0.049012635,0.042748859,0.066156413,0.100492739,0.100878836,0.066630399,0.117242872,0.094276984,0.053395019,0.100492739,-0.042387384,0.07511752,-3.71119678,0.008804229,0.031724047,-4.080955954,"33,382",1.498611409,10,1
Q9UEG4,ZNF629,0.380739045,0.224433331,0.342961613,0.418911661,0.446860041,0.515133747,0.553595926,0.549341683,0.481552247,0.361850329,0.515133747,-0.174471436,0.428997131,-3.700905612,0.008917482,0.032069639,-4.094975439,"96,620",1.493905923,14,1
Q9Y597,KCTD3,1.869126969,1.178638208,1.670273124,1.699202728,0.609912324,0.255655625,0.43355332,1.282590893,1.078987902,1.684737926,0.609912324,0.958882217,1.124869149,3.687267841,0.009070038,0.032517087,-4.11357581,"88,984",1.487888367,7,1
Q15059,BRD3,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.026042433,0.12707339,0.188101973,0.147267596,0.174551424,1.00E-07,0.147267596,-0.122121248,0.061060724,-3.667107465,0.009300832,0.033177274,-4.141117731,"79,542",1.479159294,15,1
Q9BYW2,SETD2,0.261995623,0.278070276,0.294853902,0.309494922,0.321852386,0.457535302,0.394162423,0.389470654,0.396691694,0.286462089,0.394162423,-0.10465151,0.338429436,-3.661367055,0.009367722,0.033350099,-4.148969822,"287,597",1.476902875,36,1
O95201,ZNF205,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.243061584,0.770840712,0.575206283,0.247486156,1.031643075,1.00E-07,0.575206283,-0.459148584,0.229574392,-3.660422272,0.009378781,0.03335239,-4.150262575,"60,630",1.476873044,2,1
Q01538,MYT1,0.947479591,1.083219453,0.550223439,0.342971636,0.231375223,1.00E-07,0.139341165,1.00E-07,0.059588096,0.748851515,0.059588096,0.638294383,0.411826338,3.650376518,0.009497266,0.03372186,-4.164015541,"122,329",1.47208848,8,1
Q5QP82,DCAF10,0.11203213,1.00E-07,0.110086717,1.00E-07,0.320895883,0.694003754,0.257317406,0.385532803,1.061956522,0.055043408,0.385532803,-0.3589077,0.234983612,-3.641751929,0.0096003,0.034009339,-4.175833517,"60,582",1.468401811,6,1
Q96MX3,ZNF48,0.563706442,0.644936564,0.650566688,0.69757255,0.892259267,0.763729931,0.891813191,0.727807714,0.944141573,0.647751626,0.891813191,-0.179706965,0.729049043,-3.639868762,0.00962296,0.034076557,-4.178415259,"67,820",1.467544297,10,1
Q7Z2K8,GPRIN1,0.398756799,0.424033238,0.409157413,0.494453192,0.733083168,0.538785423,0.537532401,0.64602582,0.587923171,0.416595325,0.587923171,-0.182256542,0.522728432,-3.634342642,0.009689795,0.034221484,-4.185994029,"102,399",1.465701165,12,1
Q9HCM2,PLXNA4,0.190197158,0.756543429,0.259839764,0.164771258,1.240281608,1.209253409,1.151633946,0.611968912,1.381874272,0.225018461,1.209253409,-0.710446567,0.698061185,-3.612711123,0.009956354,0.034989147,-4.215698983,"212,455",1.45606664,13,1
Q9Y6J0,CABIN1,0.220284926,0.224808391,0.445481038,0.442550414,0.162388251,1.00E-07,0.056166928,0.100897248,0.172327886,0.333679403,0.100897248,0.25341806,0.206572162,3.611230184,0.009974895,0.035040987,-4.217734883,"246,352",1.455423672,16,1
Q15067,ACOX1,0.090171109,0.08745365,0.132208859,0.128716637,0.146130447,0.176023383,0.172791294,0.146517639,0.189829736,0.109443873,0.172791294,-0.050728127,0.135001627,-3.605195243,0.010050843,0.035280978,-4.226034288,"74,424",1.452459382,17,1
Q8IV36,HID1,0.139079971,0.126394562,0.131983501,0.150181158,0.60576832,0.501417449,0.399631211,0.211738992,0.63993684,0.135531736,0.501417449,-0.292729195,0.283274395,-3.601300535,0.010100194,0.035413876,-4.231392904,"88,745",1.450826539,11,1
O94830,DDHD2,1.00E-07,0.051286743,1.00E-07,1.00E-07,0.137377653,0.062777071,0.088660691,0.188746449,0.073648388,1.00E-07,0.088660691,-0.106568705,0.066106114,-3.599391671,0.010124478,0.035485567,-4.234019974,"81,032",1.449948257,20,1
P49642,PRIM1,0.08370456,0.079164491,0.056012058,0.072987851,0.122935864,0.123026221,0.127706324,0.083863529,0.11262713,0.076076171,0.122935864,-0.041415744,0.093675112,-3.597197251,0.010152474,0.035556734,-4.237040625,"49,902",1.449078133,17,1
Q9UI26,IPO11,0.010521651,0.006937296,0.019039141,0.021358885,1.00E-07,0.005010488,1.00E-07,0.001736807,0.008465105,0.014780396,0.001736807,0.012777369,0.008075558,3.595323744,0.010176444,0.035600226,-4.239620028,"112,535",1.44854724,22,1
O75146,HIP1R,0.291686278,0.239904665,0.04465362,0.040087194,0.706236413,0.543605105,0.514238632,0.30760204,0.617770764,0.142279143,0.543605105,-0.363837608,0.336001743,-3.594093335,0.010192219,0.035624551,-4.241314277,"119,388",1.448250606,2,1
Q9NP64,ZCCHC17,1.00E-07,1.00E-07,1.00E-07,0.039467519,0.193172909,0.139712152,0.040865857,0.1249551,0.110435514,1.00E-07,0.1249551,-0.11480955,0.067271729,-3.593134613,0.01020453,0.035644534,-4.242634553,"27,570",1.448007063,6,1
Q9HD26,GOPC,0.242676387,0.383320508,0.233316119,0.231732468,0.147118413,0.052323956,0.148278044,0.138324508,0.332571128,0.237996253,0.147118413,0.151250141,0.1971363,3.589016102,0.010257599,0.035762354,-4.248307596,"50,520",1.446573901,14,1
Q8N6G5,CSGALNACT2,0.25983532,0.292271292,0.173424707,0.425806282,0.512765746,0.453639193,0.571248487,0.443812902,0.436142972,0.276053306,0.453639193,-0.207532182,0.391600491,-3.570703702,0.010497255,0.036378418,-4.273558517,"62,572",1.439156188,4,1
Q9H4A4,RNPEP,0.098463819,0.088315091,0.092230661,0.109370175,0.067499301,0.038388249,0.072371797,0.076012863,0.092588356,0.09534724,0.072371797,0.033526884,0.080331494,3.558968185,0.010654059,0.036697199,-4.289763251,"72,596",1.435367085,23,1
Q5VWG9,TAF3,1.00E-07,1.00E-07,0.004624336,1.00E-07,0.024820829,0.09346004,0.040987404,0.09623772,0.026965921,1.00E-07,0.040987404,-0.062720339,0.032516329,-3.557669138,0.010671573,0.036721013,-4.291558096,"103,582",1.435085342,9,1
Q8WXD9,CASKIN1,1.057431694,0.959977403,1.456588479,0.567391436,0.644940882,0.049146721,0.067652307,0.099974116,0.105948367,1.008704549,0.099974116,0.794918747,0.61288788,3.540955627,0.010899743,0.037321865,-4.314669724,"149,814",1.428036658,12,1
O15060,ZBTB39,0.546761391,0.552184023,0.555048986,0.52047117,0.845155203,1.388065598,1.631349482,0.908746447,0.693981686,0.549472707,0.908746447,-0.64971279,0.868472787,-3.539857531,0.01091492,0.037345404,-4.316189427,"79,001",1.427762834,4,1
Q9UKT8,FBXW2,0.013722268,1.00E-07,1.00E-07,1.00E-07,0.371136385,0.34169346,0.662341813,0.131802355,0.125167616,1.00E-07,0.34169346,-0.373312861,0.190087073,-3.538637669,0.010931807,0.037379987,-4.317877827,"51,512",1.427360855,8,1
Q9NW82,WDR70,0.107641203,0.095963632,0.121906928,0.115962433,0.134273947,0.154090085,0.170602985,0.207012383,0.143292548,0.111801818,0.154090085,-0.056126301,0.138431699,-3.536916567,0.010955681,0.037430925,-4.32026031,"73,201",1.426769435,19,1
Q96B18,DACT3,3.566789208,4.53600099,5.374614041,4.483400099,1.330560876,1.326673149,3.135608622,3.252408569,2.749471138,4.509700545,2.749471138,2.22888828,3.375756944,3.529284858,0.011062234,0.037686593,-4.330829229,"64,949",1.423813128,4,1
O60885,BRD4,0.248404065,0.238497477,0.250454559,0.260791362,0.396340664,0.398455388,0.360578813,0.267067862,0.412162834,0.249429312,0.396340664,-0.106073816,0.302573774,-3.52768064,0.011084775,0.037749478,-4.333051798,"152,219",1.42308905,23,1
Q9UQ16,DNM3,0.071666935,0.112157479,0.057752119,0.099265466,0.119977671,0.178799295,0.131533083,0.159337424,0.074461685,0.0854662,0.131533083,-0.062201369,0.116311184,-3.525801938,0.011111238,0.037811743,-4.335655064,"97,746",1.422373307,12,1
Q3YEC7,RABL6,0.059750121,0.058450317,0.068422134,0.086101694,0.137755974,0.103826914,0.085634884,0.124857574,0.105338721,0.064086127,0.105338721,-0.04483777,0.090599952,-3.525139692,0.011120582,0.037815706,-4.336572826,"79,549",1.422327788,17,1
Q7L1T6,CYB5R4,0.121576567,0.020468494,0.227207277,0.069948903,0.263850801,0.25383933,0.256930469,0.268890629,0.159441382,0.095762735,0.256930469,-0.151077497,0.185339059,-3.522175548,0.011162513,0.037944336,-4.340681312,"59,474",1.420853038,14,1
Q9P2M4,TBC1D14,1.087591174,0.925063034,0.722368982,0.974018789,0.580102863,0.240817481,0.708911447,0.480866441,0.620388027,0.949540912,0.580102863,0.424585937,0.714967526,3.51478998,0.011267743,0.038189718,-4.350922975,"78,137",1.418053553,2,1
Q86YR5,GPSM1,0.040436949,0.038821818,1.00E-07,0.056086958,0.186443182,0.058179208,0.226391166,0.219203241,0.247262577,0.039629384,0.219203241,-0.138717743,0.103195328,-3.510141699,0.011334527,0.038387927,-4.357372319,"74,510",1.41580534,22,1
Q92560,BAP1,0.209682913,0.248514504,0.213717476,0.258508686,0.39791703,0.50084383,0.271516116,0.464322508,0.428109206,0.23111599,0.428109206,-0.176043976,0.320627883,-3.509086375,0.01134975,0.038423389,-4.358836925,"80,362",1.415404336,13,1
O15111,CHUK,0.007575541,0.007995079,0.019201687,0.02526136,0.076269402,0.064552408,0.023030146,0.072413164,0.088858721,0.013598383,0.072413164,-0.044057863,0.037037349,-3.500654079,0.011472189,0.038712356,-4.370544487,"84,640",1.412150395,21,1
P78364,PHC1,0.12556378,0.235009466,0.063674647,0.283128945,0.024434337,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.180286623,1.00E-07,0.17073555,0.091476434,3.499973159,0.011482139,0.038728296,-4.371490276,"105,534",1.411971608,4,1
Q14457,BECN1,1.00E-07,1.00E-07,0.068797422,1.00E-07,0.149189174,0.126836893,0.074963044,0.069281878,1.00E-07,1.00E-07,0.074963044,-0.087868317,0.061133589,-3.485885389,0.011690125,0.039304326,-4.391070971,"51,896",1.405559647,8,1
P55265,ADAR,0.032967456,0.065952932,0.070431849,0.059021191,0.089371845,0.075935146,0.097365478,0.100472206,0.09870943,0.062487062,0.097365478,-0.033692812,0.073939763,-3.476352269,0.011833202,0.039641226,-4.404335086,"136,066",1.401852924,46,1
Q9H4Z3,PCIF1,0.010685872,0.015439955,1.00E-07,1.00E-07,0.08074755,0.049844377,0.025245083,0.038007097,0.00662343,0.005342986,0.038007097,-0.04192952,0.027496267,-3.466540759,0.011982456,0.040039678,-4.417998249,"80,670",1.397509429,17,1
Q5JTC6,AMER1,0.224215552,0.222608574,0.780495799,1.09722631,3.048922037,1.475160482,3.075934512,1.483472781,3.089404987,0.502355676,3.048922037,-1.689735894,1.426004506,-3.457218749,0.012126169,0.040417084,-4.430990703,"124,029",1.393435028,1,1
Q5T6C5,ATXN7L2,0.746506173,0.773164885,0.616352326,0.982679088,0.564542716,0.471985637,0.432405444,0.196948443,0.815298102,0.759835529,0.471985637,0.363205058,0.598073089,3.448680853,0.012259446,0.040700481,-4.442899625,"77,181",1.390400453,3,1
C9JLR9,C11orf95,1.356207104,1.291436308,1.259720211,1.285207891,1.02917353,0.465286228,0.467431449,1.035863079,1.603920922,1.2883221,1.02917353,0.548704307,1.023790725,3.446372315,0.012295757,0.040747873,-4.44612117,"73,197",1.389895056,5,1
P35226,BMI1,1.00E-07,0.03507222,1.00E-07,1.00E-07,0.15546725,0.397872394,0.341515442,0.726000934,0.405482288,1.00E-07,0.397872394,-0.396445875,0.206991067,-3.443015633,0.012348762,0.040858778,-4.450806549,"36,949",1.388714624,4,1
Q04724,TLE1,7.02404267,8.34104025,3.96715244,7.989974762,5.293930649,0.033465807,1.00E-07,1.00E-07,0.114932587,7.507008716,0.033465807,5.498703367,4.081200847,3.441496984,0.012372825,0.040900659,-4.452926783,"83,201",1.388269694,5,1
