PG.ProteinGroups,PG.Genes
Q7Z4G1,COMMD6
Q9H254,SPTBN4
P22413,ENPP1
Q9H9J2,MRPL44
Q5VSL9,STRIP1
Q8IXS8,FAM126B
Q9UK17,KCND3
P52824,DGKQ
O75663,TIPRL
Q9NVK5,FGFR1OP2
O95628,CNOT4
Q96QD9,FYTTD1
Q8IWZ6,BBS7
Q9UI09,NDUFA12
Q9UQ53,MGAT4B
Q5GLZ8,HERC4
Q96LA8,PRMT6
Q9NVW2,RLIM
Q15459,SF3A1
Q8N201,INTS1
P49137,MAPKAPK2
Q8NC60,NOA1
Q9P2Q2,FRMD4A
Q14982,OPCML
Q5H9R7,PPP6R3
P49842,STK19
O14647,CHD2
Q92538,GBF1
Q15185,PTGES3
P11172,UMPS
Q99698,LYST
P28340,POLD1
Q96E22,NUS1
Q13439,GOLGA4
Q7KZF4,SND1
O95948,ONECUT2
Q86VM9,ZC3H18
P27448,MARK3
Q56VL3,OCIAD2
Q10571,MN1
P58107,EPPK1
Q13557,CAMK2D
O60341,KDM1A
Q9UGC7,MTRF1L
Q9UBD5,ORC3
Q08345,DDR1
Q8WYA0,IFT81
Q9BR76,CORO1B
O75534,CSDE1
P07602,PSAP
P19634,SLC9A1
Q9NQ92,COPRS
Q9Y6J9,TAF6L
Q9NZJ4,SACS
Q9UMX1,SUFU
Q5JTD7,LRRC73
Q9Y483,MTF2
O75175,CNOT3
O43402,EMC8
Q8TBM8,DNAJB14
P26006,ITGA3
Q8TDI0,CHD5
Q9UKD2,MRTO4
Q9HD20,ATP13A1
Q9BZF1,OSBPL8
P30038,ALDH4A1
Q14137,BOP1
P53985,SLC16A1
O14795,UNC13B
P10721,KIT
Q2VPK5,CTU2
P50453,SERPINB9
P61020,RAB5B
Q96FW1,OTUB1
P35240,NF2
P12270,TPR
Q5T6F2,UBAP2
Q6NVY1,HIBCH
Q14161,GIT2
O60645,EXOC3
Q9NZ08,ERAP1
Q9UBW7,ZMYM2
P84098,RPL19
Q15363,TMED2
Q9NSC2,SALL1
Q5SW79,CEP170
O95202,LETM1
Q9H7E9,C8orf33
Q15435,PPP1R7
P05089,ARG1
P43304,GPD2
Q9Y676,MRPS18B
Q16763,UBE2S
Q99574,SERPINI1
P50990,CCT8
O75533,SF3B1
Q8N5M1,ATPAF2
Q9H7Z3,NRDE2
Q8N3P4,VPS8
Q9NUR3,TMEM74B
P22681,CBL
Q13523,PRPF4B
Q53HV7,SMUG1
Q9Y5P6,GMPPB
Q9Y2Y0,ARL2BP
Q9NUJ3,TCP11L1
O14773,TPP1
P49366,DHPS
O75528,TADA3
Q9BVP2,GNL3
P60520,GABARAPL2
Q9BPX6,MICU1
P60983,GMFB
P50748,KNTC1
O60242,ADGRB3
P46459,NSF
P57737,CORO7
P48454,PPP3CC
O00483,NDUFA4
Q14653,IRF3
Q6ZVK8,NUDT18
Q9NP64,ZCCHC17
P40763,STAT3
P26232,CTNNA2
P49759,CLK1
P46013,MKI67
Q96JM7,L3MBTL3
Q96EY5,MVB12A
Q8TCD5,NT5C
Q9UHQ1,NARF
O75475,PSIP1
Q9NSY0,NRBP2
Q5T9C9,PIP5KL1
Q9ULJ8,PPP1R9A
P49770,EIF2B2
Q9Y487,ATP6V0A2
Q14139,UBE4A
P45973,CBX5
P67870,CSNK2B
Q9BVG4,PBDC1
Q9H910,JPT2
Q9NUW8,TDP1
Q03001,DST
Q9BVN2,RUSC1
O95785,WIZ
Q14004,CDK13
P09543,CNP
P14866,HNRNPL
P61962,DCAF7
Q99497,PARK7
Q5BJF2,TMEM97
A3KMH1,VWA8
Q8IYD1,GSPT2
Q8NBM4,UBAC2
P49336,CDK8
Q70CQ3,USP30
Q9NSK0,KLC4
Q96K19,RNF170
Q9BV38,WDR18
Q9BUR5,APOO
Q08AE8,SPIRE1
O43324,EEF1E1
P61586,RHOA
Q5JTV8,TOR1AIP1
P42704,LRPPRC
P09132,SRP19
Q8TCU6,PREX1
Q9HCM2,PLXNA4
Q96RR1,TWNK
Q969U7,PSMG2
O95232,LUC7L3
Q9NPQ8,RIC8A
O95825,CRYZL1
Q68EM7,ARHGAP17
Q70EL1,USP54
Q8WWM7,ATXN2L
P41247,PNPLA4
Q8N2G8,GHDC
Q96JI7,SPG11
P23284,PPIB
Q71F56,MED13L
Q14157,UBAP2L
Q9HBH1,PDF
P15260,IFNGR1
Q9P1Y6,PHRF1
Q5TH69,ARFGEF3
Q96K76,USP47
P61158,ACTR3
Q8NBQ5,HSD17B11
Q4KMQ1,TPRN
O75077,ADAM23
Q9UHL0,DDX25
Q96EL3,MRPL53
O00217,NDUFS8
O75962,TRIO
Q96RP9,GFM1
P57105,SYNJ2BP
O14737,PDCD5
Q96PN7,TRERF1
Q8TF68,ZNF384
Q8WVM0,TFB1M
Q9UL51,HCN2
P61970,NUTF2
Q5VWJ9,SNX30
A6NE02,BTBD17
P33947,KDELR2
Q8TCF1,ZFAND1
P16333,NCK1
Q00535,CDK5
P05023,ATP1A1
Q9BXS5,AP1M1
P07203,GPX1
Q68DK2,ZFYVE26
P62195,PSMC5
P06493,CDK1
Q9BZQ6,EDEM3
Q02880,TOP2B
Q6XZF7,DNMBP
Q96DI7,SNRNP40
Q9UNA4,POLI
Q96EH3,MALSU1
Q7L7X3,TAOK1
Q9NVN8,GNL3L
Q9H2U2,PPA2
Q6ZN55,ZNF574
Q5J8M3,EMC4
P29692,EEF1D
P04920,SLC4A2
Q9H4A4,RNPEP
Q04637,EIF4G1
Q9Y2H2,INPP5F
Q8TBB5,KLHDC4
O75396,SEC22B
O95822,MLYCD
Q9H2U1,DHX36
Q7Z478,DHX29
P07900,HSP90AA1
Q7Z2K8,GPRIN1
P33240,CSTF2
Q01844,EWSR1
Q53GS7,GLE1
Q14684,RRP1B
O15240,VGF
Q9Y289,SLC5A6
Q12979,ABR
P48643,CCT5
O60934,NBN
Q9H7Z7,PTGES2
Q8IYD8,FANCM
Q92932,PTPRN2
Q13347,EIF3I
Q86US8,SMG6
Q4ZG55,GREB1
Q8NCN4,RNF169
P07686,HEXB
O95470,SGPL1
Q9UPT6,MAPK8IP3
Q75N03,CBLL1
Q13003,GRIK3
O43921,EFNA2
Q9UHQ9,CYB5R1
P42025,ACTR1B
Q5T2T1,MPP7
Q9BVA0,KATNB1
Q9UH77,KLHL3
Q9NUJ7,PLCXD1
P50750,CDK9
Q15796,SMAD2
Q2NKJ3,CTC1
Q12767,TMEM94
Q9HCU9,BRMS1
Q9BSQ5,CCM2
Q96L91,EP400
P19174,PLCG1
Q92890,UFD1
Q8NHG7,SVIP
P49247,RPIA
Q6NS38,ALKBH2
Q9BPW8,NIPSNAP1
O96028,NSD2
Q13319,CDK5R2
Q92900,UPF1
P11137,MAP2
Q9Y566,SHANK1
Q14168,MPP2
Q9H6R7,WDCP
Q9NWU5,MRPL22
Q7Z6K3,PTAR1
Q96J02,ITCH
Q9NYV6,RRN3
P60953,CDC42
Q96SI9,STRBP
P78371,CCT2
Q92499,DDX1
P57087,JAM2
Q12904,AIMP1
Q14562,DHX8
P08238,HSP90AB1
P04350,TUBB4A
Q9UFW8,CGGBP1
Q9Y394,DHRS7
Q9UJY4,GGA2
Q8IWU2,LMTK2
Q12840,KIF5A
Q14644,RASA3
P52294,KPNA1
Q02083,NAAA
Q15056,EIF4H
Q8N4C8,MINK1
Q99460,PSMD1
Q8IX12,CCAR1
Q13367,AP3B2
Q8ND23,CARMIL3
P25054,APC
Q9NXK8,FBXL12
P23458,JAK1
Q04726,TLE3
Q9NVF7,FBXO28
Q7Z7H8,MRPL10
Q13433,SLC39A6
P37235,HPCAL1
O94903,PLPBP
Q8N442,GUF1
Q96CS3,FAF2
Q2NL82,TSR1
Q15154,PCM1
P09110,ACAA1
P32856,STX2
P60842,EIF4A1
Q9ULV3,CIZ1
O75954,TSPAN9
Q7L0J3,SV2A
Q9BX40,LSM14B
Q15042,RAB3GAP1
P06396,GSN
Q96EP5,DAZAP1
Q06330,RBPJ
Q9BVI4,NOC4L
P22570,FDXR
Q9BYW2,SETD2
P23588,EIF4B
Q2M389,WASHC4
P52849,NDST2
Q9BZ95,NSD3
Q9UEU0,VTI1B
Q8WXI2,CNKSR2
P31939,ATIC
Q96KP4,CNDP2
O94905,ERLIN2
Q9Y5A9,YTHDF2
Q13505,MTX1
P10114,RAP2A
Q8WXH2,JPH3
A2RUC4,TYW5
Q16352,INA
A4D1E9,GTPBP10
O43556,SGCE
Q13564,NAE1
Q9NZR2,LRP1B
Q9BT40,INPP5K
Q8N3U4,STAG2
Q14847,LASP1
Q92696,RABGGTA
Q9NZ43,USE1
Q93074,MED12
Q8WUA7,TBC1D22A
Q06265,EXOSC9
Q969G3,SMARCE1
Q8WTW3,COG1
Q96AB3,ISOC2
Q8NB78,KDM1B
Q8IZJ1,UNC5B
Q4W5G0,TIGD2
Q8TE99,PXYLP1
P51798,CLCN7
P27144,AK4
Q13045,FLII
Q6P9B9,INTS5
Q8IXJ6,SIRT2
Q9UHB7,AFF4
O00139,KIF2A
O60306,AQR
Q96RL7,VPS13A
Q13705,ACVR2B
P62191,PSMC1
P07902,GALT
Q96KR1,ZFR
Q2YD98,UVSSA
Q9H9A6,LRRC40
Q96I24,FUBP3
Q9Y3C1,NOP16
Q5W0V3,FAM160B1
Q86X29,LSR
O43149,ZZEF1
O94906,PRPF6
Q7L804,RAB11FIP2
Q03701,CEBPZ
Q0VDF9,HSPA14
Q76B58,BRINP3
Q9HAB8,PPCS
P60981,DSTN
Q4G0F5,VPS26B
Q8ND76,CCNY
O43147,SGSM2
Q14C86,GAPVD1
P30566,ADSL
Q9Y2H9,MAST1
Q9UKX7,NUP50
Q9H902,REEP1
Q92922,SMARCC1
Q5VUJ6,LRCH2
Q9Y5J6,TIMM10B
Q9ULT8,HECTD1
Q13303,KCNAB2
Q15005,SPCS2
P13073,COX4I1
O75955,FLOT1
P56556,NDUFA6
Q92990,GLMN
P55036,PSMD4
Q8NHH9,ATL2
Q7Z7A4,PXK
Q9Y5B6,PAXBP1
Q8NB90,SPATA5
Q9NY47,CACNA2D2
Q86Y13,DZIP3
Q14527,HLTF
Q96LT4,SAMD8
Q9UPM8,AP4E1
A0FGR8,ESYT2
Q86WA9,SLC26A11
O43447,PPIH
Q6PUV4,CPLX2
Q9UL26,RAB22A
Q9UKW4,VAV3
Q13363,CTBP1
Q9Y3Y2,CHTOP
O43772,SLC25A20
Q96S97,MYADM
O43505,B4GAT1
Q9NX58,LYAR
Q27J81,INF2
P07947,YES1
Q9NR19,ACSS2
P05787,KRT8
Q9UG63,ABCF2
Q9P2D1,CHD7
Q9UL54,TAOK2
O60613,SELENOF
P15104,GLUL
Q13573,SNW1
Q9NVV4,MTPAP
Q9BX95,SGPP1
P50749,RASSF2
Q32MZ4,LRRFIP1
Q9UPR0,PLCL2
P16615,ATP2A2
Q7Z3B3,KANSL1
Q8TEJ3,SH3RF3
Q9H8H2,DDX31
O94808,GFPT2
Q9H7P6,MVB12B
Q96SQ9,CYP2S1
O95376,ARIH2
Q16222,UAP1
Q6ZVF9,GPRIN3
Q9BXF3,CECR2
Q9BRJ2,MRPL45
Q86XT9,TMEM219
Q8WZA9,IRGQ
O00178,GTPBP1
Q92541,RTF1
P35269,GTF2F1
O75976,CPD
Q9H497,TOR3A
Q96Q11,TRNT1
P52630,STAT2
P46199,MTIF2
P53355,DAPK1
P31948,STIP1
Q70UQ0,IKBIP
Q9Y5Q9,GTF3C3
P98160,HSPG2
Q6BDS2,UHRF1BP1
Q9H3E2,SNX25
P62877,RBX1
P51610,HCFC1
Q16186,ADRM1
O95613,PCNT
Q5VT25,CDC42BPA
Q9BUJ2,HNRNPUL1
O00267,SUPT5H
P11182,DBT
P49756,RBM25
Q13428,TCOF1
Q9Y6X9,MORC2
Q9NX24,NHP2
Q8WYQ5,DGCR8
Q96HW7,INTS4
O94874,UFL1
Q9BQ70,TCF25
Q99250,SCN2A
Q9UHW9,SLC12A6
Q05639,EEF1A2
Q9Y223,GNE
Q7Z6J0,SH3RF1
Q92794,KAT6A
O95391,SLU7
O15031,PLXNB2
Q8WWY3,PRPF31
Q96N66,MBOAT7
O95999,BCL10
Q8IWR0,ZC3H7A
Q9NVD7,PARVA
O95208,EPN2
Q6PCT2,FBXL19
Q14739,LBR
P30043,BLVRB
Q9H3G5,CPVL
Q8TEW0,PARD3
Q12800,TFCP2
O95185,UNC5C
Q5VW36,FOCAD
Q01085,TIAL1
Q9H5L6,THAP9
Q9UKN8,GTF3C4
Q9Y388,RBMX2
Q8N4U5,TCP11L2
O15016,TRIM66
P53602,MVD
Q5T5X7,BEND3
Q9BZM4,ULBP3
P35611,ADD1
Q9NXN4,GDAP2
Q9NQ11,ATP13A2
P05091,ALDH2
Q8NG11,TSPAN14
O60488,ACSL4
P13639,EEF2
Q14197,MRPL58
Q96EC8,YIPF6
Q9UKZ4,TENM1
Q9UIQ6,LNPEP
Q8NE71,ABCF1
P61106,RAB14
Q8NG27,PJA1
Q9H0E3,SAP130
Q9Y6V0,PCLO
P52757,CHN2
Q9BV86,NTMT1
Q15759,MAPK11
Q07912,TNK2
O75554,WBP4
Q8IVL6,P3H3
Q6UXK2,ISLR2
P54753,EPHB3
P38435,GGCX
Q9UPZ6,THSD7A
Q9H0W8,SMG9
Q9H9C1,VIPAS39
Q9UL03,INTS6
Q9H008,LHPP
P14923,JUP
Q9BTV5,FSD1
O75323,NIPSNAP2
Q9Y6R0,NUMBL
Q8IWX8,CHERP
Q6T4P5,PLPPR3
Q15276,RABEP1
Q9Y4E8,USP15
Q8WVT3,TRAPPC12
P55196,AFDN
O75348,ATP6V1G1
Q8IZH2,XRN1
Q9NZN5,ARHGEF12
Q9BQ75,CMSS1
Q9NXC5,MIOS
Q96C00,ZBTB9
Q92997,DVL3
Q96PC5,MIA2
Q9BXP5,SRRT
P35251,RFC1
P21554,CNR1
Q3ZAQ7,VMA21
Q8IUQ4,SIAH1
O00255,MEN1
O75150,RNF40
Q9BVQ7,SPATA5L1
P61964,WDR5
Q99767,APBA2
Q96CT7,CCDC124
Q7Z4L5,TTC21B
P49773,HINT1
P00338,LDHA
P31749,AKT1
Q9Y6K9,IKBKG
Q9Y6N7,ROBO1
Q9NRS6,SNX15
A8MVW0,FAM171A2
Q8IY45,AMN1
Q7L4E1,MIGA2
Q96PM5,RCHY1
Q8IZU2,WDR17
Q8WY54,PPM1E
Q13185,CBX3
Q9NY27,PPP4R2
Q9Y666,SLC12A7
Q96HB5,CCDC120
O75844,ZMPSTE24
Q8WXA9,SREK1
Q562E7,WDR81
O14981,BTAF1
Q13206,DDX10
P50613,CDK7
Q92930,RAB8B
Q7Z698,SPRED2
O00534,VWA5A
Q9Y219,JAG2
P35626,GRK3
Q14566,MCM6
Q6I9Y2,THOC7
Q9H115,NAPB
P35573,AGL
Q16658,FSCN1
Q8NB49,ATP11C
P47755,CAPZA2
Q9UPQ3,AGAP1
Q9NXR7,BABAM2
Q6ZTA4,TRIM67
Q8TB61,SLC35B2
Q6P2Q9,PRPF8
Q9UJW0,DCTN4
Q9Y2X9,ZNF281
P48723,HSPA13
Q7Z2T5,TRMT1L
Q7L8C5,SYT13
Q9UDY8,MALT1
Q13332,PTPRS
P07099,EPHX1
Q92547,TOPBP1
Q96BH1,RNF25
Q6X4W1,NSMF
O43157,PLXNB1
Q53HC0,CCDC92
O15111,CHUK
Q96TC7,RMDN3
Q6ZNC4,ZNF704
Q8TF42,UBASH3B
Q9ULA0,DNPEP
Q16850,CYP51A1
Q6XUX3,DSTYK
Q69YN2,CWF19L1
O75880,SCO1
P17040,ZSCAN20
Q9NY46,SCN3A
P40967,PMEL
Q96KS9,FAM167A
Q8NI08,NCOA7
Q6GMV2,SMYD5
P62487,POLR2G
Q8NCE2,MTMR14
O00408,PDE2A
Q5SZQ8,CELF3
Q16342,PDCD2
P82914,MRPS15
Q5QJE6,DNTTIP2
Q99986,VRK1
Q32NB8,PGS1
O43427,FIBP
Q9BT88,SYT11
Q15773,MLF2
Q86V25,VASH2
O75116,ROCK2
Q9Y225,RNF24
P04899,GNAI2
P23327,HRC
Q8IWB9,TEX2
O00165,HAX1
Q6AI08,HEATR6
O43172,PRPF4
Q8WWQ0,PHIP
Q8NFW1,COL22A1
Q00013,MPP1
Q8TD26,CHD6
Q9HBD1,RC3H2
Q96PQ6,ZNF317
Q14914,PTGR1
Q04656,ATP7A
Q8IWU5,SULF2
P78364,PHC1
Q6XQN6,NAPRT
Q5VZK9,CARMIL1
Q9H582,ZNF644
Q9BWS9,CHID1
Q86YR7,MCF2L2
Q9GZR2,REXO4
Q9BSM1,PCGF1
Q8TE49,OTUD7A
P49406,MRPL19
P02545,LMNA
Q8NCS7,SLC44A5
O15397,IPO8
Q8NF91,SYNE1
O75909,CCNK
P16591,FER
P42684,ABL2
O43909,EXTL3
Q5K4L6,SLC27A3
Q99590,SCAF11
Q8N5D0,WDTC1
Q9Y3Q3,TMED3
O94913,PCF11
Q86YT6,MIB1
P51580,TPMT
Q6UB99,ANKRD11
Q96PV0,SYNGAP1
P31146,CORO1A
P11274,BCR
Q9BST9,RTKN
Q6ZS17,RIPOR1
Q92570,NR4A3
Q9Y657,SPIN1
Q9NUX5,POT1
Q8NFZ4,NLGN2
Q8IWW6,ARHGAP12
Q96C23,GALM
Q9BWC9,CCDC106
Q75V66,ANO5
Q9NX63,CHCHD3
Q9H061,TMEM126A
Q96HP0,DOCK6
O75884,RBBP9
O43414,ERI3
O43768,ENSA
Q8N4V2,SVOP
Q9NP81,SARS2
Q8TB68,PRR7
Q13129,RLF
Q9Y303,AMDHD2
Q5NDL2,EOGT
Q96Q89,KIF20B
Q15031,LARS2
Q9BUB5,MKNK1
Q14596,NBR1
P0DMQ5,INAFM2
Q9NQC7,CYLD
Q6PCB6,ABHD17C
O95985,TOP3B
P20020,ATP2B1
Q9BRX9,WDR83
Q9H1K6,TLNRD1
P47736,RAP1GAP
Q8N129,CNPY4
Q5THK1,PRR14L
Q9P2E7,PCDH10
O75123,ZNF623
Q9NWS6,FAM118A
Q9Y508,RNF114
O14662,STX16
Q9BVC4,MLST8
P51795,CLCN5
Q9BYK8,HELZ2
Q13151,HNRNPA0
Q96KB5,PBK
Q86UY8,NT5DC3
Q9H0H3,KLHL25
Q9H1U9,SLC25A51
Q8WY21,SORCS1
Q96PQ7,KLHL5
P52564,MAP2K6
Q86TG7,PEG10
Q6ZRS2,SRCAP
P63027,VAMP2
O95749,GGPS1
Q8NEJ9,NGDN
Q99759,MAP3K3
Q9NP77,SSU72
Q9NTW7,ZFP64
Q96HF1,SFRP2
Q8IWY9,CDAN1
P30414,NKTR
Q8IXZ2,ZC3H3
Q9ULD4,BRPF3
Q15131,CDK10
Q9H1U4,MEGF9
Q9HCE9,ANO8
Q9UNK0,STX8
Q9BSI4,TINF2
Q9Y2E6,DTX4
Q9H4P4,RNF41
Q96L73,NSD1
O15357,INPPL1
Q8WVC0,LEO1
Q9BZA7,PCDH11X
Q7L5Y9,MAEA
Q5VSY0,GKAP1
P54277,PMS1
P49761,CLK3
P61619,SEC61A1
P07199,CENPB
P12429,ANXA3
Q15723,ELF2
Q8N370,SLC43A2
P41236,PPP1R2
P10599,TXN
Q05BQ5,MBTD1
Q99435,NELL2
Q8TF44,C2CD4C
Q659C4,LARP1B
Q8NDV1,ST6GALNAC3
Q7KZN9,COX15
Q6QHF9,PAOX
Q2VYF4,LETM2
P30613,PKLR
Q49AG3,ZBED5
Q969S2,NEIL2
Q7Z2K6,ERMP1
Q9H5I1,SUV39H2
Q9UMR5,PPT2
Q13443,ADAM9
O95807,TMEM50A
Q9BXW9,FANCD2
Q8WVK2,SNRNP27
Q9UKY7,CDV3
Q6P1L8,MRPL14
Q9NUN5,LMBRD1
P51826,AFF3
Q99442,SEC62
Q15928,ZNF141
P17735,TAT
O75665,OFD1
P08779,KRT16
Q13233,MAP3K1
Q9Y375,NDUFAF1
Q9NYF5,FAM13B
P63162,SNRPN
Q96LJ7,DHRS1
O43598,DNPH1
Q6ZWB6,KCTD8
Q96MF7,NSMCE2
Q14568,HSP90AA2P
Q9BY66,KDM5D
Q8WVI7,PPP1R1C
Q63HK3,ZKSCAN2
Q8TBB6,SLC7A14
Q96GS6,ABHD17A
A5PLN9,TRAPPC13
Q93100,PHKB
Q9NUP1,BLOC1S4
P48751,SLC4A3
Q5EBL4,RILPL1
P29083,GTF2E1
P35226,BMI1
Q15714,TSC22D1
Q9H7H0,METTL17
Q8IXL6,FAM20C
P28676,GCA
Q9BWT3,PAPOLG
P34741,SDC2
Q9Y5X0,SNX10
O95835,LATS1
Q12933,TRAF2
Q6ZVK1,TMEM179
P28472,GABRB3
P09525,ANXA4
Q86W34,AMZ2
Q96J42,TXNDC15
Q8NFU7,TET1
Q5JS13,RALGPS1
Q49B96,COX19
Q9UKL0,RCOR1
Q9P0K8,FOXJ2
Q7Z5G4,GOLGA7
Q9NZJ6,COQ3
O15047,SETD1A
Q9H6V9,LDAH
P42167,TMPO
Q9BQ61,TRIR
Q01780,EXOSC10
Q9BTD8,RBM42
Q8NBZ7,UXS1
Q9NW68,BSDC1
P49447,CYB561
Q00613,HSF1
Q6FI81,CIAPIN1
Q8TDY8,IGDCC4
Q8WXF0,SRSF12
P25116,F2R
Q96SM3,CPXM1
Q12996,CSTF3
Q9H3H1,TRIT1
Q53R41,FASTKD1
Q9BXW7,HDHD5
Q92769,HDAC2
Q8TB37,NUBPL
Q7L4P6,BEND5
P62829,RPL23
Q16773,KYAT1
O95989,NUDT3
Q8WTR4,GDPD5
Q9Y2R4,DDX52
Q9GZS3,WDR61
Q99490,AGAP2
Q8TC76,FAM110B
Q9NPD7,NRN1
O75391,SPAG7
Q9NP61,ARFGAP3
P82673,MRPS35
O95793,STAU1
O00462,MANBA
Q969N2,PIGT
Q9NQ48,LZTFL1
Q9BRA2,TXNDC17
Q9NXS2,QPCTL
Q86VQ1,GLCCI1
Q8N1G1,REXO1
Q8ND56,LSM14A
Q9H1E5,TMX4
Q8TAE8,GADD45GIP1
Q9NYI0,PSD3
Q9NYV4,CDK12
Q7Z4H3,HDDC2
Q8NBR6,MINDY2
Q7L190,DPPA4
P68400,CSNK2A1
Q92882,OSTF1
O00442,RTCA
O14656,TOR1A
Q96S19,METTL26
Q32P28,P3H1
Q8WVX9,FAR1
Q6P6B7,ANKRD16
Q53LP3,SOWAHC
Q03052,POU3F1
A2A2Y4,FRMD3
O75368,SH3BGRL
P20265,POU3F2
P46934,NEDD4
Q8N183,NDUFAF2
Q14693,LPIN1
P15336,ATF2
Q9GZU1,MCOLN1
Q9UJ70,NAGK
Q13615,MTMR3
Q9ULI2,RIMKLB
Q9NQE9,HINT3
Q8TDW0,LRRC8C
Q9P015,MRPL15
P40424,PBX1
P52895,AKR1C2
Q9H9Y2,RPF1
P08240,SRPRA
Q9BXC9,BBS2
Q2KHR2,RFX7
Q5T5C0,STXBP5
Q86UL3,GPAT4
O96033,MOCS2
Q6N043,ZNF280D
Q13572,ITPK1
Q12851,MAP4K2
Q9BT73,PSMG3
Q5TDH0,DDI2
Q96DZ1,ERLEC1
Q9UHY7,ENOPH1
Q96GK7,FAHD2A
O43861,ATP9B
Q14571,ITPR2
Q9NR11,ZNF302
P33121,ACSL1
Q9NPG1,FZD3
Q9C0B7,TANGO6
P12110,COL6A2
P35244,RPA3
P12694,BCKDHA
Q9H426,RIMS4
Q7Z7C8,TAF8
Q17RN3,FAM98C
Q9NRA8,EIF4ENIF1
P62306,SNRPF
Q9Y689,ARL5A
Q96F10,SAT2
Q5QJ74,TBCEL
Q9UM82,SPATA2
Q96IU4,ABHD14B
Q9H0V9,LMAN2L
Q9H3H9,TCEAL2
Q9Y3C0,WASHC3
P37802,TAGLN2
Q70Z53,FRA10AC1
O75298,RTN2
Q7Z3K6,MIER3
P17029,ZKSCAN1
O75821,EIF3G
P60709,ACTB
Q9P121,NTM
Q86UX6,STK32C
P08865,RPSA
Q8IV36,HID1
P61968,LMO4
Q9H5Q4,TFB2M
Q9Y2T4,PPP2R2C
Q8IVH4,MMAA
Q9NZQ3,NCKIPSD
O60427,FADS1
Q92597,NDRG1
O14917,PCDH17
P49005,POLD2
Q9H223,EHD4
Q13561,DCTN2
Q9BYD6,MRPL1
O95861,BPNT1
Q15691,MAPRE1
Q9Y2J4,AMOTL2
Q9BV57,ADI1
Q09328,MGAT5
Q8TF05,PPP4R1
Q5SQN1,SNAP47
O75478,TADA2A
Q9C0B1,FTO
Q9UPW0,FOXJ3
Q9NPR2,SEMA4B
O75794,CDC123
P42262,GRIA2
P35613,BSG
O75420,GIGYF1
Q5TEC3,ZNF697
P49916,LIG3
P58400,NRXN1
Q9H9L3,ISG20L2
A3KN83,SBNO1
Q6AZZ1,TRIM68
O43663,PRC1
Q15365,PCBP1
Q96DX4,RSPRY1
Q9P2W9,STX18
O00458,IFRD1
Q2QGD7,ZXDC
Q6DCA0,AMMECR1L
P35914,HMGCL
Q9P253,VPS18
P21283,ATP6V1C1
Q9HBG6,IFT122
Q9Y672,ALG6
Q6ZVD8,PHLPP2
Q9C0E2,XPO4
P27037,ACVR2A
Q9Y2Z4,YARS2
Q96G28,CFAP36
Q9NQR4,NIT2
Q9P242,NYAP2
Q53H47,SETMAR
Q15392,DHCR24
P16455,MGMT
Q9BQG1,SYT3
Q8TCU4,ALMS1
Q7RTN6,STRADA
Q8TF40,FNIP1
Q8NFH8,REPS2
O15090,ZNF536
P51531,SMARCA2
Q9UQR0,SCML2
Q96QU8,XPO6
O43181,NDUFS4
Q93088,BHMT
P02649,APOE
P10398,ARAF
Q86YI8,PHF13
Q92544,TM9SF4
Q96GD3,SCMH1
Q9NUL7,DDX28
Q9NVC6,MED17
Q8N2Y8,RUSC2
Q9H6Y2,WDR55
O15355,PPM1G
Q16513,PKN2
O75886,STAM2
Q8TDW7,FAT3
P62256,UBE2H
Q9P289,STK26
Q96QG7,MTMR9
Q969G6,RFK
O95153,TSPOAP1
Q96JP5,ZFP91
P51003,PAPOLA
P40145,ADCY8
Q99487,PAFAH2
Q9NVU7,SDAD1
Q7LG56,RRM2B
Q5T2D3,OTUD3
P53667,LIMK1
Q6SZW1,SARM1
Q9NXR8,ING3
Q9Y3A6,TMED5
Q9NRY5,FAM114A2
Q9UJV9,DDX41
Q6MZP7,LIN54
Q9H6E5,TUT1
O60879,DIAPH2
Q86WR0,CCDC25
A6NDU8,C5orf51
Q8NDA2,HMCN2
P26038,MSN
Q6UWU4,C6orf89
Q9HCU5,PREB
Q7RTP6,MICAL3
Q9HBZ2,ARNT2
Q8IY92,SLX4
Q96JB3,HIC2
Q5W111,SPRYD7
Q9BZL6,PRKD2
Q12846,STX4
P43146,DCC
Q8TD19,NEK9
P80303,NUCB2
O75306,NDUFS2
Q9H4D0,CLSTN2
Q86YH6,PDSS2
Q13976,PRKG1
Q8TAF3,WDR48
Q9UHH9,IP6K2
Q96JA3,PLEKHA8
P49755,TMED10
P12755,SKI
O15040,TECPR2
Q8NFC6,BOD1L1
Q12931,TRAP1
O14727,APAF1
Q9NTX5,ECHDC1
P51523,ZNF84
Q4G0X4,KCTD21
Q9Y262,EIF3L
P20585,MSH3
Q9NYG2,ZDHHC3
Q9BZ71,PITPNM3
Q9Y2G8,DNAJC16
Q9ULE6,PALD1
Q96CN5,LRRC45
Q92934,BAD
A6NDB9,PALM3
Q5HYK3,COQ5
O43719,HTATSF1
Q9BRS8,LARP6
Q15291,RBBP5
P48553,TRAPPC10
Q7Z736,PLEKHH3
Q9Y5K8,ATP6V1D
Q8IXM3,MRPL41
Q8NEZ2,VPS37A
Q9NXU5,ARL15
Q9ULD5,ZNF777
Q5T3U5,ABCC10
Q7Z6M2,FBXO33
Q68CP9,ARID2
Q8NFJ9,BBS1
